season,team_abbreviation,star_minutes_share,weighted_experience,weighted_age,players_with_minutes,minutes_pct_Base/Escolta,minutes_pct_Alero/Ala-pívot,minutes_pct_Pívot
2010-11,DAL,24.612781465573345,9.228383010108898,30.914920387001604,15,37.63720768796911,45.53776736517853,16.825024946852356
2011-12,MIA,26.504771225838024,6.573464643993149,28.699473941766577,15,34.829948617567894,51.15610472229019,14.013946660141913
2012-13,MIA,26.80915262760875,8.959366356550163,30.60417400050289,15,46.2911742519487,38.521498617048024,15.18732713100327
2013-14,SAS,21.42490504055025,7.212401190842829,29.62596242685556,15,49.67149163330254,38.917975567190226,11.410532799507237
2014-15,GSW,25.864166244298026,5.460618347693867,27.21677648251394,15,53.29447541814496,29.645210339584388,17.060314242270653
2015-16,CLE,23.98149878527378,7.5676976266118485,28.889319753317135,15,41.375443842272475,41.384787890114,17.23976826761353
2016-17,GSW,27.21527320605662,8.051305683563749,29.850515690147027,15,47.58393680052666,43.234584156243145,9.181479043230196
2017-18,GSW,25.433191130773686,7.7980196976878915,29.312160952230474,15,44.02485911413072,42.88723863696213,13.087902248907145
2018-19,TOR,31.898504757589485,6.875437657041644,29.14931828479631,16,41.244799604563994,30.40738147217531,28.347818923260697
2019-20,LAL,24.62079462551829,8.885634808166692,29.98142024877972,18,41.33732220647667,45.877289665669444,12.785388127853881
2020-21,MIL,23.423465788854926,7.045332706324947,29.318269456853987,17,41.74465083470491,49.31107453562191,8.94427462967317
2021-22,GSW,23.412678272344316,6.1899203167030405,28.326346241689084,16,48.69816779170685,51.30183220829315,0.0
2022-23,DEN,24.161045352339737,6.880276611089899,27.927198676339568,16,50.36697636926733,28.11505663739341,21.517966993339275
2023-24,BOS,22.746198406951486,6.6809377262853005,28.072999637943518,17,46.89536567704562,39.27407675597393,13.830557566980447
2024-25,OKC,24.563096931517983,3.6084129242023977,25.256350335297704,17,77.37248526722212,8.84474700264174,13.78276773013615
2025-26,NYK,24.16800142374088,6.417600996618615,28.2820341697811,18,64.19291688912618,17.667734472326035,18.139348638547784
