SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,AVAILABLE_FLAG,game_phase,comparable_name,season,possessions_estimate,net_rating_estimate,game_number,rolling_net_rating
2020-21,1610612751,BKN,Brooklyn Nets,22000878,2021-04-20,BKN @ NOP,W,48.0,49,89,0.551,14,37,0.378,22,28,0.786,10,34,44,30,13.0,7,2,2,21,21,134,5.0,1,1,1,1,5,9,27,15,35,30,42,15,14,40,23,39,39,19,29,29,65,6,51,20,7,34,1.0,regular,Brooklyn Nets 2020-21,2020-21,104.32,4.792944785276074,58,5.711859850225919
2020-21,1610612751,BKN,Brooklyn Nets,22000884,2021-04-21,BKN @ TOR,L,48.0,36,91,0.396,13,41,0.317,18,23,0.783,12,38,50,19,13.0,3,6,8,17,20,103,-11.0,1,49,49,49,5,65,20,71,43,15,58,33,33,42,12,20,14,66,29,61,19,64,17,27,66,62,1.0,regular,Brooklyn Nets 2020-21,2020-21,102.12,-10.771641206423814,59,2.3130410229562677
2020-21,1610612751,BKN,Brooklyn Nets,22000899,2021-04-23,BKN vs. BOS,W,48.0,37,86,0.43,11,32,0.344,24,28,0.857,6,41,47,26,11.0,12,7,6,19,20,109,5.0,1,1,1,1,5,63,40,62,54,49,50,11,14,22,57,13,25,37,17,2,14,50,37,27,56,34,1.0,regular,Brooklyn Nets 2020-21,2020-21,103.32,4.839334107626791,60,3.6210370624787322
2020-21,1610612751,BKN,Brooklyn Nets,22000912,2021-04-25,BKN vs. PHX,W,48.0,46,87,0.529,13,28,0.464,23,27,0.852,11,33,44,30,11.0,6,4,3,17,24,128,9.0,1,1,1,1,5,20,35,24,43,66,13,14,17,26,15,45,39,19,17,33,46,14,17,9,15,25,1.0,regular,Brooklyn Nets 2020-21,2020-21,98.88,9.101941747572816,61,4.335995001390641
2020-21,1610612751,BKN,Brooklyn Nets,22000930,2021-04-27,BKN @ TOR,W,48.0,40,83,0.482,18,45,0.4,18,18,1.0,7,34,41,30,11.0,9,6,3,20,19,116,13.0,1,1,1,1,5,53,52,44,13,3,36,33,51,1,50,39,49,19,17,15,19,14,45,34,39,15,1.0,regular,Brooklyn Nets 2020-21,2020-21,94.92,13.695743784239358,62,3.1291983823909484
2020-21,1610612751,BKN,Brooklyn Nets,22000944,2021-04-29,BKN @ IND,W,48.0,47,89,0.528,12,35,0.343,24,28,0.857,8,42,50,35,14.0,3,5,6,19,23,130,17.0,1,1,1,1,5,15,27,25,50,40,52,11,14,22,40,11,14,2,38,61,31,50,37,12,11,10,1.0,regular,Brooklyn Nets 2020-21,2020-21,107.32,15.840477077897877,63,7.135726710335774
2020-21,1610612751,BKN,Brooklyn Nets,22000952,2021-04-30,BKN vs. POR,L,48.0,40,95,0.421,13,41,0.317,16,19,0.842,11,31,42,20,8.0,6,3,2,18,17,109,-19.0,1,49,49,49,5,53,10,65,43,15,58,45,47,28,15,57,46,64,6,33,57,6,26,47,56,70,1.0,regular,Brooklyn Nets 2020-21,2020-21,100.36,-18.931845356715822,64,2.5043165448722973
2020-21,1610612751,BKN,Brooklyn Nets,22000967,2021-05-02,BKN @ MIL,L,48.0,41,96,0.427,17,42,0.405,15,17,0.882,14,39,53,18,16.0,5,1,11,11,18,114,-3.0,1,49,49,49,5,46,9,63,15,11,34,49,53,12,3,18,4,71,47,50,70,71,2,38,44,52,1.0,regular,Brooklyn Nets 2020-21,2020-21,105.48,-2.844141069397042,65,2.812787813426664
2020-21,1610612751,BKN,Brooklyn Nets,22000985,2021-05-04,BKN @ MIL,L,48.0,41,84,0.488,20,43,0.465,16,26,0.615,6,33,39,21,13.0,6,6,3,25,21,118,-6.0,1,49,49,49,5,46,49,36,3,8,12,45,21,70,57,45,57,58,29,33,19,14,66,20,35,57,1.0,regular,Brooklyn Nets 2020-21,2020-21,102.44,-5.8570870753611874,66,0.7713337642756386
2020-21,1610612751,BKN,Brooklyn Nets,22000998,2021-05-06,BKN @ DAL,L,48.0,41,95,0.432,13,37,0.351,14,15,0.933,10,41,51,18,13.0,8,4,3,18,15,109,-4.0,1,49,49,49,5,46,10,61,43,30,49,55,64,5,23,13,8,71,29,22,46,14,26,56,56,54,1.0,regular,Brooklyn Nets 2020-21,2020-21,104.6,-3.824091778202677,67,0.6041635016512383
2020-21,1610612751,BKN,Brooklyn Nets,22001015,2021-05-08,BKN @ DEN,W,48.0,41,66,0.621,16,31,0.516,27,33,0.818,2,33,35,27,17.0,10,5,1,24,23,125,6.0,1,1,1,1,5,46,72,1,22,54,5,4,4,33,72,45,65,35,52,9,31,1,60,12,21,32,1.0,regular,Brooklyn Nets 2020-21,2020-21,95.52,6.281407035175881,68,0.753009726641219
2020-21,1610612751,BKN,Brooklyn Nets,22001036,2021-05-11,BKN @ CHI,W,48.0,42,89,0.472,12,33,0.364,19,25,0.76,13,38,51,32,8.0,4,8,5,19,20,115,8.0,1,1,1,1,5,39,27,49,50,47,46,28,25,51,5,20,8,13,6,58,8,41,37,27,43,28,1.0,regular,Brooklyn Nets 2020-21,2020-21,95.0,8.421052631578947,69,2.672279110441495
2020-21,1610612751,BKN,Brooklyn Nets,22001043,2021-05-12,BKN vs. SAS,W,48.0,48,79,0.608,12,28,0.429,20,27,0.741,3,40,43,33,11.0,3,9,2,19,19,128,12.0,1,1,1,1,5,12,64,2,50,66,23,23,17,55,70,15,42,9,17,61,5,6,37,34,15,18,1.0,regular,Brooklyn Nets 2020-21,2020-21,98.88,12.135922330097088,70,3.401937932688525
2020-21,1610612751,BKN,Brooklyn Nets,22001060,2021-05-15,BKN vs. CHI,W,48.0,41,87,0.471,14,34,0.412,9,15,0.6,8,44,52,26,10.0,6,8,4,16,13,105,14.0,1,1,1,1,5,46,35,50,35,45,31,69,64,71,40,2,6,37,13,33,8,29,10,65,63,13,1.0,regular,Brooklyn Nets 2020-21,2020-21,95.6,14.644351464435148,71,3.956178904374758
2020-21,1610612751,BKN,Brooklyn Nets,22001067,2021-05-16,BKN vs. CLE,W,48.0,47,83,0.566,16,30,0.533,13,17,0.765,4,33,37,35,12.0,9,9,5,20,14,123,14.0,1,1,1,1,5,15,52,11,22,59,2,60,53,48,65,45,61,2,26,15,5,41,45,63,27,13,1.0,regular,Brooklyn Nets 2020-21,2020-21,98.48,14.21608448415922,72,4.008212974366744
2020-21,1610612751,BKN,Brooklyn Nets,42000111,2021-05-22,BKN vs. BOS,W,48.0,35,84,0.417,8,34,0.235,26,29,0.897,14,36,50,18,11.0,7,7,12,22,18,104,11.0,1,1,1,1,2,11,5,11,11,7,12,3,3,3,1,4,1,9,8,6,2,11,8,8,9,5,1.0,playoffs,Brooklyn Nets 2020-21,2020-21,93.76,11.732081911262798,73,3.597373457703236
2020-21,1610612751,BKN,Brooklyn Nets,42000112,2021-05-25,BKN vs. BOS,W,48.0,46,88,0.523,17,38,0.447,21,22,0.955,12,34,46,31,17.0,7,7,4,23,20,130,22.0,1,1,1,1,2,3,4,2,2,5,4,6,7,2,2,6,4,1,11,6,2,4,10,6,2,2,1.0,playoffs,Brooklyn Nets 2020-21,2020-21,102.68,21.425788858589794,74,7.633136879233798
2020-21,1610612751,BKN,Brooklyn Nets,42000113,2021-05-28,BKN @ BOS,L,48.0,38,84,0.452,16,38,0.421,27,31,0.871,10,27,37,16,10.0,8,3,3,23,25,119,-6.0,1,8,8,8,2,7,5,8,3,5,5,2,1,8,4,11,10,10,5,2,8,1,10,1,5,10,1.0,playoffs,Brooklyn Nets 2020-21,2020-21,97.64,-6.145022531749283,75,7.303048732998574
2020-21,1610612751,BKN,Brooklyn Nets,42000114,2021-05-30,BKN @ BOS,W,48.0,48,83,0.578,16,27,0.593,29,30,0.967,9,27,36,29,10.0,8,9,4,28,21,141,15.0,1,1,1,1,2,2,9,1,3,12,1,1,2,1,5,11,11,2,5,2,1,4,12,4,1,3,1.0,playoffs,Brooklyn Nets 2020-21,2020-21,97.2,15.432098765432098,76,9.431967317077902
2020-21,1610612751,BKN,Brooklyn Nets,42000115,2021-06-01,BKN vs. BOS,W,48.0,43,84,0.512,15,32,0.469,22,25,0.88,7,32,39,26,9.0,6,7,12,21,21,123,14.0,1,1,1,1,2,5,5,4,6,9,3,4,4,5,8,9,8,5,2,10,2,11,6,4,4,4,1.0,playoffs,Brooklyn Nets 2020-21,2020-21,97.0,14.432989690721648,77,11.257675463970335
2020-21,1610612751,BKN,Brooklyn Nets,42000211,2021-06-05,BKN vs. MIL,W,48.0,46,98,0.469,15,39,0.385,8,9,0.889,6,41,47,25,9.0,7,6,3,21,15,115,8.0,1,1,1,1,2,3,1,6,6,3,6,9,10,4,10,2,3,6,2,6,5,1,6,9,6,6,1.0,playoffs,Brooklyn Nets 2020-21,2020-21,104.96,7.621951219512195,78,11.391729882403968
2020-21,1610612751,BKN,Brooklyn Nets,42000212,2021-06-07,BKN vs. MIL,W,48.0,49,94,0.521,21,42,0.5,6,7,0.857,9,33,42,27,9.0,8,3,3,17,12,125,39.0,1,1,1,1,2,1,2,3,1,2,2,12,12,9,5,8,7,3,2,2,8,1,1,11,3,1,1.0,playoffs,Brooklyn Nets 2020-21,2020-21,97.08,40.17305315203956,79,14.566929934450027
2020-21,1610612751,BKN,Brooklyn Nets,42000213,2021-06-10,BKN @ MIL,L,48.0,34,94,0.362,8,32,0.25,7,8,0.875,7,43,50,15,8.0,8,5,8,22,12,83,-3.0,1,8,8,8,2,12,2,12,11,9,11,11,11,7,8,1,1,11,1,2,6,10,8,11,12,8,1.0,playoffs,Brooklyn Nets 2020-21,2020-21,98.52,-3.0450669914738127,80,13.048831002292937
2020-21,1610612751,BKN,Brooklyn Nets,42000214,2021-06-13,BKN @ MIL,L,48.0,36,83,0.434,10,33,0.303,14,18,0.778,3,40,43,20,17.0,7,3,7,20,22,96,-11.0,1,8,8,8,2,9,9,10,9,8,9,8,8,11,11,3,6,8,11,6,8,8,4,3,10,11,1.0,playoffs,Brooklyn Nets 2020-21,2020-21,104.92,-10.484178421654594,81,10.535978013683962
2020-21,1610612751,BKN,Brooklyn Nets,42000215,2021-06-15,BKN vs. MIL,W,48.0,38,77,0.494,16,43,0.372,22,25,0.88,2,34,36,27,10.0,4,4,5,19,24,114,6.0,1,1,1,1,2,7,12,5,3,1,7,4,4,5,12,6,11,3,5,11,7,6,3,2,7,7,1.0,playoffs,Brooklyn Nets 2020-21,2020-21,96.0,6.25,82,9.73936956526804
2020-21,1610612751,BKN,Brooklyn Nets,42000216,2021-06-17,BKN @ MIL,L,48.0,36,81,0.444,9,30,0.3,8,14,0.571,9,30,39,14,16.0,11,1,6,18,13,89,-15.0,1,8,8,8,2,9,11,9,10,11,10,9,9,12,5,10,8,12,10,1,12,7,2,10,11,12,1.0,playoffs,Brooklyn Nets 2020-21,2020-21,94.16,-15.930331350892098,83,6.973128239052551
2020-21,1610612751,BKN,Brooklyn Nets,42000217,2021-06-19,BKN vs. MIL,L,53.0,39,84,0.464,12,39,0.308,21,25,0.84,11,35,46,23,13.0,4,3,7,20,20,111,-4.0,1,8,8,8,1,6,5,7,8,3,8,6,4,10,3,5,4,7,9,11,8,8,4,6,8,9,1.0,playoffs,Brooklyn Nets 2020-21,2020-21,97.0,-4.123711340206185,84,4.418178219172954
2016-17,1610612744,GSW,Golden State Warriors,21600003,2016-10-25,GSW vs. SAS,L,48.0,40,85,0.471,7,33,0.212,13,18,0.722,8,27,35,24,16.0,11,6,3,19,19,100,-29.0,1,68,68,68,4,58,51,55,75,25,78,58,56,62,47,78,77,72,48,20,40,26,38,38,76,82,1.0,regular,Golden State Warriors 2016-17,2016-17,100.92,-28.735632183908045,1,-28.735632183908045
2016-17,1610612744,GSW,Golden State Warriors,21600025,2016-10-28,GSW @ NOP,W,48.0,44,91,0.484,9,28,0.321,25,28,0.893,9,40,49,32,14.0,8,2,5,22,24,122,8.0,1,1,1,1,4,32,16,48,62,59,62,14,18,11,35,13,16,31,33,56,78,56,59,11,24,52,1.0,regular,Golden State Warriors 2016-17,2016-17,108.32,7.385524372230429,2,-10.675053905838809
2016-17,1610612744,GSW,Golden State Warriors,21600036,2016-10-30,GSW @ PHX,W,48.0,35,83,0.422,8,29,0.276,28,33,0.848,7,36,43,27,16.0,6,5,6,23,26,106,6.0,1,1,1,1,4,78,62,76,69,53,70,6,10,20,55,34,46,57,48,72,49,64,68,6,65,60,1.0,regular,Golden State Warriors 2016-17,2016-17,106.52,5.632745024408562,3,-5.239120929089684
2016-17,1610612744,GSW,Golden State Warriors,21600054,2016-11-01,GSW @ POR,W,48.0,50,89,0.562,10,26,0.385,17,23,0.739,7,38,45,36,16.0,14,4,4,19,17,127,23.0,1,1,1,1,4,6,23,11,56,68,42,35,33,59,55,25,33,11,48,3,60,43,38,56,10,17,1.0,regular,Golden State Warriors 2016-17,2016-17,108.12,21.272660007399185,4,1.388824305032533
2016-17,1610612744,GSW,Golden State Warriors,21600069,2016-11-03,GSW vs. OKC,W,48.0,46,89,0.517,14,30,0.467,16,20,0.8,15,31,46,27,16.0,9,14,6,18,20,122,26.0,1,1,1,1,4,17,23,28,18,44,16,40,47,36,5,57,24,57,48,41,1,64,28,33,24,11,1.0,regular,Golden State Warriors 2016-17,2016-17,98.8,26.31578947368421,5,6.374217338762868
2016-17,1610612744,GSW,Golden State Warriors,21600078,2016-11-04,GSW @ LAL,L,48.0,39,86,0.453,5,32,0.156,14,20,0.7,9,31,40,26,20.0,13,3,5,13,19,97,-20.0,1,68,68,68,4,64,48,64,81,32,82,54,47,69,35,57,64,62,76,12,74,56,3,38,78,78,1.0,regular,Golden State Warriors 2016-17,2016-17,105.8,-18.90359168241966,6,2.16124916856578
2016-17,1610612744,GSW,Golden State Warriors,21600099,2016-11-07,GSW vs. NOP,W,48.0,45,90,0.5,16,35,0.457,10,12,0.833,10,28,38,35,15.0,14,4,1,17,16,116,10.0,1,1,1,1,4,23,18,38,8,18,18,78,78,24,29,75,72,14,37,3,60,4,19,64,41,45,1.0,regular,Golden State Warriors 2016-17,2016-17,100.28,9.97207818109294,7,3.2770818846410887
2016-17,1610612744,GSW,Golden State Warriors,21600116,2016-11-09,GSW vs. DAL,W,48.0,43,74,0.581,17,33,0.515,13,22,0.591,5,34,39,33,15.0,3,5,2,22,20,116,21.0,1,1,1,1,4,38,81,6,5,25,9,58,38,79,72,43,68,21,37,81,49,11,59,33,41,20,1.0,regular,Golden State Warriors 2016-17,2016-17,93.68,22.416737830913746,8,5.669538877925171
2016-17,1610612744,GSW,Golden State Warriors,21600119,2016-11-10,GSW @ DEN,W,48.0,46,85,0.541,14,30,0.467,19,20,0.95,9,35,44,33,15.0,15,6,3,18,18,125,24.0,1,1,1,1,4,17,51,17,18,44,16,26,47,2,35,39,39,21,37,2,40,26,28,47,17,14,1.0,regular,Golden State Warriors 2016-17,2016-17,99.8,24.048096192384772,9,7.711600801754015
2016-17,1610612744,GSW,Golden State Warriors,21600143,2016-11-13,GSW vs. PHX,W,48.0,45,87,0.517,16,33,0.485,27,31,0.871,8,35,43,32,16.0,8,7,3,20,29,133,13.0,1,1,1,1,4,23,40,27,8,25,14,8,13,16,47,39,46,31,48,56,29,26,45,1,7,36,1.0,regular,Golden State Warriors 2016-17,2016-17,108.64,11.966126656848306,10,8.137053387263444
2016-17,1610612744,GSW,Golden State Warriors,21600165,2016-11-16,GSW @ TOR,W,48.0,44,87,0.506,13,36,0.361,26,28,0.929,7,28,35,33,12.0,9,7,1,25,22,127,6.0,1,1,1,1,4,32,40,33,29,11,47,11,18,4,55,75,77,21,15,41,29,4,76,18,10,60,1.0,regular,Golden State Warriors 2016-17,2016-17,104.32,5.751533742331288,11,11.585769979887377
2016-17,1610612744,GSW,Golden State Warriors,21600179,2016-11-18,GSW @ BOS,W,48.0,44,90,0.489,9,28,0.321,7,12,0.583,9,41,50,33,11.0,10,7,3,20,12,104,16.0,1,1,1,1,4,32,18,44,62,59,62,80,78,80,35,10,14,21,10,26,29,26,45,77,71,27,1.0,regular,Golden State Warriors 2016-17,2016-17,97.28,16.447368421052634,12,12.491954384769599
2016-17,1610612744,GSW,Golden State Warriors,21600191,2016-11-19,GSW @ MIL,W,48.0,42,95,0.442,14,38,0.368,26,32,0.813,18,27,45,30,12.0,8,5,1,25,23,124,3.0,1,1,1,1,4,46,9,71,18,7,46,11,11,33,2,78,33,44,15,56,49,4,76,14,20,65,1.0,regular,Golden State Warriors 2016-17,2016-17,103.08,2.910360884749709,13,12.219715970803714
2016-17,1610612744,GSW,Golden State Warriors,21600202,2016-11-21,GSW @ IND,W,48.0,40,90,0.444,13,36,0.361,27,32,0.844,12,48,60,31,12.0,9,10,4,17,23,120,37.0,1,1,1,1,4,58,18,69,29,11,47,8,11,23,19,1,1,35,15,41,12,43,19,14,31,4,1.0,regular,Golden State Warriors 2016-17,2016-17,104.08,35.549577248270566,14,13.64740769489085
2016-17,1610612744,GSW,Golden State Warriors,21600223,2016-11-23,GSW vs. LAL,W,48.0,53,86,0.616,19,36,0.528,24,35,0.686,6,42,48,47,10.0,7,5,1,20,25,149,43.0,1,1,1,1,4,3,48,3,3,11,5,17,6,71,65,6,18,1,6,64,49,4,45,9,1,3,1.0,regular,Golden State Warriors 2016-17,2016-17,105.4,40.79696394686907,15,15.095525142209336
2016-17,1610612744,GSW,Golden State Warriors,21600238,2016-11-25,GSW @ LAL,W,48.0,43,83,0.518,11,28,0.393,12,17,0.706,4,40,44,31,18.0,10,10,3,21,16,109,24.0,1,1,1,1,4,38,62,26,46,59,39,65,61,66,78,13,39,35,65,26,12,26,55,64,57,14,1.0,regular,Golden State Warriors 2016-17,2016-17,104.48,22.970903522205205,16,19.282974662671823
2016-17,1610612744,GSW,Golden State Warriors,21600244,2016-11-26,GSW vs. MIN,W,48.0,45,81,0.556,11,22,0.5,14,17,0.824,12,33,45,25,18.0,9,8,3,14,15,115,13.0,1,1,1,1,4,23,68,14,46,79,10,54,61,30,19,49,33,65,65,41,23,26,5,68,44,36,1.0,regular,Golden State Warriors 2016-17,2016-17,94.48,13.75952582557155,17,19.661719427119685
2016-17,1610612744,GSW,Golden State Warriors,21600259,2016-11-28,GSW vs. ATL,W,48.0,37,85,0.435,12,35,0.343,19,24,0.792,7,34,41,25,15.0,6,10,4,20,22,105,5.0,1,1,1,1,4,73,51,75,40,18,55,26,27,38,55,43,58,65,37,72,12,43,45,18,70,63,1.0,regular,Golden State Warriors 2016-17,2016-17,103.56,4.828118964851294,18,17.902857540513438
2016-17,1610612744,GSW,Golden State Warriors,21600281,2016-12-01,GSW vs. HOU,L,58.0,43,104,0.413,12,44,0.273,29,37,0.784,13,41,54,31,17.0,12,7,4,27,28,127,-5.0,1,68,68,68,1,38,1,79,40,2,72,3,5,47,10,10,5,35,57,16,29,43,80,3,10,73,1.0,regular,Golden State Warriors 2016-17,2016-17,124.28,-4.023173479240425,19,15.095730573350917
2016-17,1610612744,GSW,Golden State Warriors,21600299,2016-12-03,GSW vs. PHX,W,48.0,49,78,0.628,14,21,0.667,26,34,0.765,6,32,38,37,17.0,9,5,2,19,29,138,29.0,1,1,1,1,4,11,74,1,18,80,1,11,9,51,65,53,72,6,57,41,49,11,38,1,5,10,1.0,regular,Golden State Warriors 2016-17,2016-17,103.96000000000001,27.89534436321662,20,16.688652343987748
2016-17,1610612744,GSW,Golden State Warriors,21600314,2016-12-05,GSW vs. IND,W,48.0,54,104,0.519,14,37,0.378,20,26,0.769,16,38,54,45,11.0,12,13,5,22,21,142,36.0,1,1,1,1,4,2,1,25,18,9,44,25,23,50,3,25,5,2,10,16,4,56,59,27,3,5,1.0,regular,Golden State Warriors 2016-17,2016-17,110.44,32.59688518652662,21,19.373187488407286
2016-17,1610612744,GSW,Golden State Warriors,21600330,2016-12-07,GSW @ LAC,W,48.0,42,89,0.472,7,31,0.226,24,29,0.828,12,34,46,32,10.0,11,5,2,24,24,115,17.0,1,1,1,1,4,46,23,52,75,39,77,17,15,27,19,43,24,31,6,20,49,11,72,11,44,24,1.0,regular,Golden State Warriors 2016-17,2016-17,99.76,17.040898155573377,22,19.432540461859357
2016-17,1610612744,GSW,Golden State Warriors,21600335,2016-12-08,GSW @ UTA,W,48.0,39,80,0.488,12,29,0.414,16,23,0.696,9,38,47,26,17.0,10,4,2,23,22,106,7.0,1,1,1,1,4,64,71,46,40,53,32,40,33,70,35,25,21,62,57,26,60,11,68,18,65,57,1.0,regular,Golden State Warriors 2016-17,2016-17,98.12,7.134121483897268,23,19.854916521774115
2016-17,1610612744,GSW,Golden State Warriors,21600351,2016-12-10,GSW @ MEM,L,48.0,34,77,0.442,9,27,0.333,12,20,0.6,10,32,42,15,23.0,6,8,5,23,19,89,-21.0,1,68,68,68,4,79,76,73,62,65,57,65,47,77,29,53,55,82,81,72,23,56,68,38,79,79,1.0,regular,Golden State Warriors 2016-17,2016-17,98.8,-21.25506072874494,24,14.174452724072562
2016-17,1610612744,GSW,Golden State Warriors,21600358,2016-12-11,GSW @ MIN,W,48.0,38,83,0.458,13,32,0.406,27,30,0.9,6,31,37,30,9.0,9,4,2,24,21,116,8.0,1,1,1,1,4,72,62,60,29,32,37,8,14,10,65,57,74,44,3,41,60,11,72,27,41,52,1.0,regular,Golden State Warriors 2016-17,2016-17,99.2,8.064516129032258,25,10.901207942288881
2016-17,1610612744,GSW,Golden State Warriors,21600371,2016-12-13,GSW @ NOP,W,48.0,42,95,0.442,14,34,0.412,15,19,0.789,9,36,45,30,12.0,6,5,11,12,18,113,4.0,1,1,1,1,4,46,9,71,18,21,33,46,53,42,35,34,33,44,15,72,49,82,1,47,47,64,1.0,regular,Golden State Warriors 2016-17,2016-17,106.36,3.7608123354644607,26,8.980198823614808
2016-17,1610612744,GSW,Golden State Warriors,21600388,2016-12-15,GSW vs. NYK,W,48.0,45,96,0.469,9,32,0.281,4,8,0.5,15,42,57,41,17.0,7,10,5,17,10,103,13.0,1,1,1,1,4,23,6,56,62,32,69,82,82,82,5,6,3,3,57,64,12,56,19,81,73,36,1.0,regular,Golden State Warriors 2016-17,2016-17,101.52,12.805358550039402,27,8.884782096061594
2016-17,1610612744,GSW,Golden State Warriors,21600405,2016-12-17,GSW vs. POR,W,48.0,51,87,0.586,14,28,0.5,19,26,0.731,9,47,56,36,15.0,7,5,4,16,19,135,45.0,1,1,1,1,4,5,40,5,18,59,10,26,23,61,35,2,4,11,37,64,49,43,12,38,6,2,1.0,regular,Golden State Warriors 2016-17,2016-17,104.44,43.086939869781695,28,12.710664186554633
2016-17,1610612744,GSW,Golden State Warriors,21600427,2016-12-20,GSW vs. UTA,W,48.0,40,90,0.444,9,23,0.391,15,17,0.882,9,41,50,24,10.0,13,3,3,18,17,104,30.0,1,1,1,1,4,58,18,69,62,76,41,46,61,15,35,10,14,72,6,12,74,26,28,56,71,8,1.0,regular,Golden State Warriors 2016-17,2016-17,98.48,30.463038180341183,29,16.159285352512793
2016-17,1610612744,GSW,Golden State Warriors,21600437,2016-12-22,GSW @ BKN,W,48.0,47,104,0.452,12,37,0.324,11,14,0.786,11,40,51,29,13.0,19,7,6,19,15,117,16.0,1,1,1,1,4,14,1,67,40,9,60,74,72,45,25,13,12,51,25,1,29,64,38,68,38,27,1.0,regular,Golden State Warriors 2016-17,2016-17,112.16,14.265335235378032,30,14.796284439728936
2016-17,1610612744,GSW,Golden State Warriors,21600446,2016-12-23,GSW @ DET,W,48.0,43,77,0.558,11,27,0.407,22,24,0.917,4,37,41,35,23.0,9,2,3,21,22,119,6.0,1,1,1,1,4,38,76,13,46,65,35,23,27,9,78,30,58,14,81,41,78,26,55,18,33,60,1.0,regular,Golden State Warriors 2016-17,2016-17,106.56,5.63063063063063,31,12.099658984139337
2016-17,1610612744,GSW,Golden State Warriors,21600457,2016-12-25,GSW @ CLE,L,48.0,37,77,0.481,9,30,0.3,25,29,0.862,5,37,42,25,20.0,8,4,2,24,19,108,-1.0,1,68,68,68,4,73,76,50,62,44,66,14,15,18,72,30,55,65,76,56,60,11,72,38,60,68,1.0,regular,Golden State Warriors 2016-17,2016-17,104.76,-0.9545628102329133,32,10.300112887558708
2016-17,1610612744,GSW,Golden State Warriors,21600485,2016-12-28,GSW vs. TOR,W,48.0,46,81,0.568,14,23,0.609,15,18,0.833,9,42,51,33,20.0,4,9,6,16,18,121,10.0,1,1,1,1,4,17,68,9,18,76,2,46,56,24,35,6,12,21,76,80,19,64,12,47,28,45,1.0,regular,Golden State Warriors 2016-17,2016-17,99.92,10.0080064051241,33,10.587501379681392
2016-17,1610612744,GSW,Golden State Warriors,21600501,2016-12-30,GSW vs. DAL,W,48.0,42,84,0.5,11,33,0.333,13,15,0.867,4,39,43,31,13.0,5,4,7,12,12,108,9.0,1,1,1,1,4,46,57,38,46,25,57,58,70,17,78,20,46,35,25,77,60,74,1,77,60,49,1.0,regular,Golden State Warriors 2016-17,2016-17,99.6,9.036144578313253,34,13.61662191038721
2016-17,1610612744,GSW,Golden State Warriors,21600520,2017-01-02,GSW vs. DEN,W,48.0,50,95,0.526,11,25,0.44,16,21,0.762,12,31,43,33,13.0,7,2,2,14,21,127,8.0,1,1,1,1,4,6,9,22,46,72,25,40,43,54,19,57,46,21,25,64,78,11,5,27,10,52,1.0,regular,Golden State Warriors 2016-17,2016-17,105.24,7.601672367920943,35,13.570337534276078
2016-17,1610612744,GSW,Golden State Warriors,21600534,2017-01-04,GSW vs. POR,W,48.0,44,87,0.506,13,36,0.361,24,29,0.828,8,31,39,31,15.0,14,9,5,20,26,125,8.0,1,1,1,1,4,32,40,33,29,11,47,17,15,27,47,57,68,35,37,3,19,56,45,6,17,52,1.0,regular,Golden State Warriors 2016-17,2016-17,106.76,7.493443237167479,36,13.94360062444638
2016-17,1610612744,GSW,Golden State Warriors,21600550,2017-01-06,GSW vs. MEM,L,53.0,41,83,0.494,8,30,0.267,29,39,0.744,7,37,44,23,16.0,7,5,0,21,28,119,-9.0,1,68,68,68,2,52,62,41,69,44,74,3,1,58,55,30,39,75,48,64,49,1,55,3,33,76,1.0,regular,Golden State Warriors 2016-17,2016-17,109.16,-8.244778307072188,37,11.838586938735222
2016-17,1610612744,GSW,Golden State Warriors,21600566,2017-01-08,GSW @ SAC,W,48.0,45,89,0.506,10,29,0.345,17,20,0.85,13,33,46,33,17.0,11,6,5,22,17,117,11.0,1,1,1,1,4,23,23,35,56,53,53,35,47,19,10,49,24,21,57,20,40,56,59,56,38,43,1.0,regular,Golden State Warriors 2016-17,2016-17,101.8,10.805500982318271,38,8.610443049988877
2016-17,1610612744,GSW,Golden State Warriors,21600578,2017-01-10,GSW vs. MIA,W,48.0,39,86,0.453,11,27,0.407,18,22,0.818,5,43,48,28,11.0,6,7,4,16,22,107,12.0,1,1,1,1,4,64,48,64,46,65,35,34,38,31,72,4,18,52,10,72,29,43,12,18,63,40,1.0,regular,Golden State Warriors 2016-17,2016-17,101.68,11.801730920535011,39,6.744312324008263
