SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,AVAILABLE_FLAG,game_phase,comparable_name,season,possessions_estimate,net_rating_estimate,game_number,rolling_net_rating
2020-21,1610612751,BKN,Brooklyn Nets,22000190,2021-01-16,BKN vs. ORL,W,48.0,42,78,0.538,16,35,0.457,22,25,0.88,4,37,41,24,19.0,9,5,4,14,19,122,7.0,1,1,1,1,5,39,67,19,22,40,17,15,25,16,65,28,49,46,64,15,31,29,7,34,29,29,1.0,regular,Brooklyn Nets 2020-21,2020-21,104.0,6.730769230769231,14,3.255245005299635
2020-21,1610612751,BKN,Brooklyn Nets,22000209,2021-01-18,BKN vs. MIL,W,48.0,46,84,0.548,15,31,0.484,18,21,0.857,7,42,49,26,17.0,2,5,2,19,15,125,2.0,1,1,1,1,5,20,49,16,28,54,11,33,43,22,50,11,20,37,52,70,31,6,37,56,21,46,1.0,regular,Brooklyn Nets 2020-21,2020-21,103.24,1.9372336303758235,15,3.085728266629989
2020-21,1610612751,BKN,Brooklyn Nets,22000216,2021-01-20,BKN @ CLE,L,58.0,48,106,0.453,15,41,0.366,24,27,0.889,13,39,52,30,16.0,8,11,6,24,21,135,-12.0,1,49,49,49,1,12,1,57,28,15,44,11,17,10,5,18,6,19,47,22,1,50,60,20,6,64,1.0,regular,Brooklyn Nets 2020-21,2020-21,120.88,-9.927200529450696,16,3.8730715048241597
2020-21,1610612751,BKN,Brooklyn Nets,22000232,2021-01-22,BKN @ CLE,L,48.0,42,87,0.483,14,43,0.326,15,17,0.882,6,23,29,23,11.0,5,8,3,25,18,113,-12.0,1,49,49,49,5,39,35,42,35,8,56,49,53,12,57,72,72,51,17,50,8,14,66,38,46,64,1.0,regular,Brooklyn Nets 2020-21,2020-21,99.48,-12.0627261761158,17,2.7597011540278897
2020-21,1610612751,BKN,Brooklyn Nets,22000244,2021-01-23,BKN vs. MIA,W,48.0,44,83,0.53,19,37,0.514,21,26,0.808,9,38,47,34,17.0,0,6,1,26,23,128,4.0,1,1,1,1,5,25,52,23,7,30,6,20,21,38,32,20,25,7,52,72,19,1,70,12,15,39,1.0,regular,Brooklyn Nets 2020-21,2020-21,102.44,3.904724716907458,18,-0.08668852203460058
2020-21,1610612751,BKN,Brooklyn Nets,22000260,2021-01-25,BKN vs. MIA,W,48.0,34,85,0.4,11,38,0.289,19,22,0.864,6,43,49,24,9.0,6,5,7,18,21,98,13.0,1,1,1,1,5,71,44,70,54,28,65,28,37,21,57,6,20,46,10,33,31,61,26,20,69,15,1.0,regular,Brooklyn Nets 2020-21,2020-21,97.68,13.308763308763307,19,0.08098093697344097
2020-21,1610612751,BKN,Brooklyn Nets,22000274,2021-01-27,BKN @ ATL,W,53.0,52,98,0.531,11,32,0.344,17,20,0.85,11,25,36,29,11.0,7,10,7,25,18,132,4.0,1,1,1,1,2,3,6,22,54,49,50,40,45,27,15,70,64,28,17,29,2,61,66,38,9,39,1.0,regular,Brooklyn Nets 2020-21,2020-21,106.8,3.7453183520599254,20,0.9217567110082289
2020-21,1610612751,BKN,Brooklyn Nets,22000295,2021-01-29,BKN @ OKC,W,48.0,57,100,0.57,19,45,0.422,14,16,0.875,10,40,50,33,11.0,7,4,4,25,12,147,22.0,1,1,1,1,5,1,2,8,7,3,26,55,60,18,23,15,14,9,17,29,46,29,66,69,1,7,1.0,regular,Brooklyn Nets 2020-21,2020-21,108.04,20.36282858200666,21,4.1780095391788645
2020-21,1610612751,BKN,Brooklyn Nets,22000310,2021-01-31,BKN @ WAS,L,48.0,50,88,0.568,19,36,0.528,27,33,0.818,7,38,45,33,17.0,6,5,2,24,22,146,-3.0,1,49,49,49,5,7,32,10,7,36,3,4,4,33,50,20,32,9,52,33,31,6,60,15,2,52,1.0,regular,Brooklyn Nets 2020-21,2020-21,112.52,-2.6661926768574475,22,3.29027225907076
2020-21,1610612751,BKN,Brooklyn Nets,22000324,2021-02-02,BKN vs. LAC,W,48.0,45,79,0.57,13,31,0.419,21,26,0.808,6,38,44,25,17.0,6,4,5,17,18,124,4.0,1,1,1,1,5,23,64,9,43,54,27,20,21,38,57,20,39,42,52,33,46,41,17,38,24,39,1.0,regular,Brooklyn Nets 2020-21,2020-21,101.44,3.943217665615142,23,2.9276736104073606
