game_id,day,home_team_id,home_abbreviation,away_team_id,away_abbreviation,home_score,away_score,point_differential,winner_team_id,winner_abbreviation
0,0,1610612741,CHI,1610612750,MIN,92.91425435718104,107.16853353576882,9.915436993081453,1610612741,CHI
1,0,1610612758,SAC,1610612737,ATL,66.32443146946036,114.03011829050047,-7.98423971914347,1610612758,SAC
2,0,1610612740,NOP,1610612746,LAC,119.8160322021275,113.94592602255788,11.728206514914946,1610612740,NOP
3,0,1610612764,WAS,1610612748,MIA,80.21913945242619,123.36393749526225,-8.605822006058832,1610612764,WAS
4,0,1610612757,POR,1610612759,SAS,98.51802730991623,155.48746668517205,-8.57365759526495,1610612759,SAS
5,0,1610612761,TOR,1610612745,HOU,126.47739133062873,107.0427659889713,7.19193948003303,1610612761,TOR
6,0,1610612760,OKC,1610612766,CHA,164.49163943589957,111.30496856419707,10.452155963463888,1610612760,OKC
7,0,1610612742,DAL,1610612743,DEN,98.51836683380698,142.46275502308296,-6.8412224920095905,1610612743,DEN
8,0,1610612744,GSW,1610612739,CLE,108.18008500054802,124.79181519488571,-3.1123938541369958,1610612744,GSW
9,0,1610612752,NYK,1610612756,PHX,127.91817812819154,88.35680618360783,-7.223778176868856,1610612756,PHX
10,0,1610612765,DET,1610612751,BKN,118.1690813074515,57.87332376510773,12.77087537181778,1610612751,BKN
11,0,1610612747,LAL,1610612754,IND,102.80863927164188,96.51277803478689,4.426649686471226,1610612747,LAL
12,0,1610612738,BOS,1610612762,UTA,122.56514360921295,55.46129589101085,-6.862461069589745,1610612762,UTA
13,0,1610612749,MIL,1610612763,MEM,92.22079249116635,83.5225669603642,-0.23564890947703931,1610612749,MIL
14,0,1610612755,PHI,1610612753,ORL,126.5054495501055,122.29750761883852,-2.0538043674314603,1610612755,PHI
15,1,1610612741,CHI,1610612737,ATL,94.48328903210509,126.28346412003742,4.674253095792094,1610612741,CHI
16,1,1610612750,MIN,1610612746,LAC,98.93536817260208,120.74524407055424,-2.1752108002164507,1610612746,LAC
17,1,1610612758,SAC,1610612748,MIA,103.32765310640889,111.54011643173318,0.02297440919385485,1610612748,MIA
18,1,1610612740,NOP,1610612759,SAS,99.82411442449961,123.56674402121897,12.67593840555665,1610612740,NOP
19,1,1610612764,WAS,1610612745,HOU,97.00131205153748,127.9533602472769,-5.9106162443807015,1610612745,HOU
20,1,1610612757,POR,1610612766,CHA,94.22022514223102,115.69669120607792,-11.872832993304725,1610612766,CHA
21,1,1610612761,TOR,1610612743,DEN,104.26610350950165,127.83358513001608,-4.03572223504686,1610612743,DEN
22,1,1610612760,OKC,1610612739,CLE,175.0029361626251,139.64091565443476,13.18289846323394,1610612760,OKC
23,1,1610612742,DAL,1610612756,PHX,82.62797235026515,121.1024230567896,-9.433149523958743,1610612756,PHX
24,1,1610612744,GSW,1610612751,BKN,105.51833888211391,62.72555138823451,-5.770836032312372,1610612751,BKN
25,1,1610612752,NYK,1610612754,IND,123.253377917352,98.2128754846184,-5.402951719316477,1610612754,IND
26,1,1610612765,DET,1610612762,UTA,104.57979880962196,83.28585040069377,-1.186282979576906,1610612762,UTA
27,1,1610612747,LAL,1610612763,MEM,116.96889198922705,109.54424406296823,6.238159219673667,1610612747,LAL
28,1,1610612738,BOS,1610612753,ORL,127.15534291707102,103.42795509616734,-7.372454661461568,1610612753,ORL
29,1,1610612749,MIL,1610612755,PHI,103.01540832355047,132.50493760373388,-11.412946447522739,1610612749,MIL
30,2,1610612741,CHI,1610612746,LAC,112.17523384435438,116.05264681458215,12.944822391455682,1610612741,CHI
31,2,1610612737,ATL,1610612748,MIA,118.93937051519178,123.49298406895026,0.8848405774373318,1610612748,MIA
32,2,1610612750,MIN,1610612759,SAS,95.18638769086706,119.08043623888292,3.2238897479358775,1610612759,SAS
33,2,1610612758,SAC,1610612745,HOU,58.0790809276817,156.89599600883935,-13.904127328321795,1610612745,HOU
34,2,1610612740,NOP,1610612766,CHA,75.68320614108205,102.17957278026819,3.192269943295173,1610612740,NOP
35,2,1610612764,WAS,1610612743,DEN,91.63725503138733,108.60004151265731,-7.922773644447693,1610612764,WAS
36,2,1610612757,POR,1610612739,CLE,102.22906889950377,123.85311919476754,-6.283708899974863,1610612757,POR
37,2,1610612761,TOR,1610612756,PHX,99.02615779099787,102.57288004336546,-4.2747813681275915,1610612761,TOR
38,2,1610612760,OKC,1610612751,BKN,163.23278741983034,49.427330405047705,13.603049457989833,1610612760,OKC
39,2,1610612742,DAL,1610612754,IND,81.25070247968824,89.82738657770011,-0.4298296057437172,1610612754,IND
40,2,1610612744,GSW,1610612762,UTA,109.50127185252732,102.37016911579212,-19.187896272063977,1610612762,UTA
41,2,1610612752,NYK,1610612763,MEM,92.8791377004629,88.23639773695751,-7.072285185064837,1610612763,MEM
42,2,1610612765,DET,1610612753,ORL,105.62305336346877,107.88293255126273,1.5090430715544552,1610612765,DET
43,2,1610612747,LAL,1610612755,PHI,126.64039280586788,141.2017263044483,-2.319311561832173,1610612755,PHI
44,2,1610612738,BOS,1610612749,MIL,135.414610583641,80.20530627039527,7.096889375984554,1610612749,MIL
45,3,1610612741,CHI,1610612748,MIA,85.72653369827592,114.56323653096504,6.774606448544997,1610612748,MIA
46,3,1610612746,LAC,1610612759,SAS,116.48646285549108,147.91877883646745,0.6535057715437498,1610612759,SAS
47,3,1610612737,ATL,1610612745,HOU,110.70097911939962,108.88836578524814,2.6378975766149764,1610612737,ATL
48,3,1610612750,MIN,1610612766,CHA,113.35290110800908,121.8019057184519,-3.317035829853162,1610612766,CHA
49,3,1610612758,SAC,1610612743,DEN,66.74035021921995,102.36575025071316,-7.9602803640877555,1610612758,SAC
50,3,1610612740,NOP,1610612739,CLE,86.71964709490004,131.2007539759141,5.897125909741567,1610612739,CLE
51,3,1610612764,WAS,1610612756,PHX,85.6341264623614,99.22184790001732,-10.853441549805375,1610612756,PHX
52,3,1610612757,POR,1610612751,BKN,111.84852481216414,66.80493166128039,-7.767703643092891,1610612751,BKN
53,3,1610612761,TOR,1610612754,IND,114.66201689586984,106.88400541568886,1.725279134044053,1610612754,IND
54,3,1610612760,OKC,1610612762,UTA,171.38122415038706,91.09866110769939,0.5318316881806897,1610612760,OKC
55,3,1610612742,DAL,1610612763,MEM,98.44508449919407,90.14099943780005,3.9287754928580574,1610612742,DAL
56,3,1610612744,GSW,1610612753,ORL,112.11685516106694,112.30581451215265,-13.867570338143286,1610612753,ORL
57,3,1610612752,NYK,1610612755,PHI,124.34651250160468,114.1899523495563,-11.18303804568677,1610612755,PHI
58,3,1610612765,DET,1610612749,MIL,94.95158327523133,104.68800567576112,9.678804174689482,1610612765,DET
59,3,1610612747,LAL,1610612738,BOS,103.44413946925752,125.37365525747592,4.964198056317731,1610612738,BOS
60,4,1610612741,CHI,1610612759,SAS,88.9393688378027,123.28884199874406,13.753601524284923,1610612741,CHI
61,4,1610612748,MIA,1610612745,HOU,116.94822153519345,120.35249352192692,0.17316733114780292,1610612748,MIA
62,4,1610612746,LAC,1610612766,CHA,136.13750312108323,125.14528277586224,-1.5248358870047356,1610612766,CHA
63,4,1610612737,ATL,1610612743,DEN,97.4505575933953,148.42608500746627,-10.172165801669292,1610612743,DEN
64,4,1610612750,MIN,1610612739,CLE,92.1779745309252,135.6184434880784,-3.362167151166261,1610612750,MIN
65,4,1610612758,SAC,1610612756,PHX,78.60129348917232,103.02461249417645,-9.625319785014547,1610612756,PHX
66,4,1610612740,NOP,1610612751,BKN,87.41562821325245,67.63981852120094,4.023316631246188,1610612751,BKN
67,4,1610612764,WAS,1610612754,IND,86.2543775581277,85.66747082169667,-4.392553116436973,1610612754,IND
68,4,1610612757,POR,1610612762,UTA,96.56321371863409,97.6321029334328,-22.87465785614513,1610612762,UTA
69,4,1610612761,TOR,1610612763,MEM,84.98934101176427,106.79458818660866,-1.4293490649477079,1610612763,MEM
70,4,1610612760,OKC,1610612753,ORL,157.39521154319414,90.78935360083723,4.824288446978537,1610612753,ORL
71,4,1610612742,DAL,1610612755,PHI,113.37332119961789,137.95137622138617,-6.390604143698622,1610612755,PHI
72,4,1610612744,GSW,1610612749,MIL,134.8188458110814,99.96831166872323,1.1770339003809998,1610612749,MIL
73,4,1610612752,NYK,1610612738,BOS,106.89126006361745,120.81530621472578,-6.601927390522846,1610612738,BOS
74,4,1610612765,DET,1610612747,LAL,104.2011916974343,112.8650702986847,3.1724888792275956,1610612747,LAL
75,5,1610612741,CHI,1610612745,HOU,97.51380615170041,116.92786545979384,9.021886017874726,1610612745,HOU
76,5,1610612759,SAS,1610612766,CHA,129.22657865939655,92.27901823256308,-3.0639686614756245,1610612766,CHA
77,5,1610612748,MIA,1610612743,DEN,121.51134089883024,108.59344998742326,-1.4617599475195862,1610612748,MIA
78,5,1610612746,LAC,1610612739,CLE,130.5178701636372,115.32163444531977,4.767941862374931,1610612746,LAC
79,5,1610612737,ATL,1610612756,PHX,115.92030377060505,90.32778008368889,-1.267527861549751,1610612737,ATL
80,5,1610612750,MIN,1610612751,BKN,109.6811222430727,38.15634743304761,2.96356007762639,1610612751,BKN
81,5,1610612758,SAC,1610612754,IND,85.78013458140951,94.82123523383986,-2.969164019784824,1610612754,IND
82,5,1610612740,NOP,1610612762,UTA,92.20004445793124,82.13626239110613,-5.197684050274306,1610612762,UTA
83,5,1610612764,WAS,1610612763,MEM,98.3862955352078,114.24672321901345,-5.423102366663403,1610612763,MEM
84,5,1610612757,POR,1610612753,ORL,101.72126222069438,100.62902695602428,-16.02122405429369,1610612757,POR
85,5,1610612761,TOR,1610612755,PHI,112.24057934705867,145.89211033398095,-8.347230742470037,1610612761,TOR
86,5,1610612760,OKC,1610612749,MIL,158.67746607773032,98.6461197795694,13.139908054746456,1610612760,OKC
87,5,1610612742,DAL,1610612738,BOS,109.98889191726636,130.6170240962557,2.7230430743630967,1610612738,BOS
88,5,1610612744,GSW,1610612747,LAL,104.2462844964043,101.90317515699502,-10.759162318061197,1610612747,LAL
89,5,1610612752,NYK,1610612765,DET,99.80784790160311,96.51361489571221,-16.901370459158503,1610612765,DET
90,6,1610612741,CHI,1610612766,CHA,84.60435953818336,126.06969844727132,3.56457685031502,1610612741,CHI
91,6,1610612745,HOU,1610612743,DEN,128.76104806189585,105.55162373518108,-0.5212571056669217,1610612743,DEN
92,6,1610612759,SAS,1610612739,CLE,148.99469895323207,114.59427277999643,2.137148193267576,1610612759,SAS
