comparable_name,season,games_in_season,actual_wins,simulated_wins_mean,simulated_wins_p10,simulated_wins_p50,simulated_wins_p90,actual_percentile,league_baseline_per36
Miami Heat 2010-11,2010-11,82,58,47.6216,41.0,48.0,55.0,97.94,11.047135189948492
Golden State Warriors 2016-17,2016-17,82,67,56.9197,50.0,57.0,63.0,98.89,10.923826719887948
Brooklyn Nets 2020-21,2020-21,72,48,47.8652,41.0,48.0,54.0,52.739999999999995,12.2192660262708
Phoenix Suns 2022-23,2022-23,82,45,50.8921,43.0,51.0,59.0,18.790000000000003,12.655394027863029
