Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,comparable_name,season,note
1610612756,22200603,"JAN 08, 2023",PHX vs. CLE,L,20,21,0.488,240,37,84,0.44,14,26,0.538,10,11,0.909,6,30,36,22,7,2,16,14,98,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200589,"JAN 06, 2023",PHX vs. MIA,L,20,20,0.5,240,34,82,0.415,6,23,0.261,22,25,0.88,8,36,44,22,5,2,14,20,96,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200565,"JAN 04, 2023",PHX @ CLE,L,20,19,0.513,240,32,81,0.395,10,28,0.357,14,18,0.778,8,41,49,24,8,3,13,19,88,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200550,"JAN 02, 2023",PHX @ NYK,L,20,18,0.526,240,34,87,0.391,10,37,0.27,5,7,0.714,5,31,36,22,4,0,8,17,83,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200531,"DEC 30, 2022",PHX @ TOR,L,20,17,0.541,240,35,71,0.493,14,30,0.467,20,23,0.87,9,33,42,26,7,1,25,17,104,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200516,"DEC 28, 2022",PHX @ WAS,L,20,16,0.556,240,39,87,0.448,13,31,0.419,11,16,0.688,11,19,30,25,7,4,11,21,102,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200510,"DEC 27, 2022",PHX @ MEM,W,20,15,0.571,240,43,87,0.494,17,31,0.548,22,25,0.88,15,32,47,26,7,9,19,23,125,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200497,"DEC 25, 2022",PHX @ DEN,L,19,15,0.559,265,45,94,0.479,17,35,0.486,18,26,0.692,12,34,46,32,7,9,13,30,125,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200490,"DEC 23, 2022",PHX vs. MEM,L,19,14,0.576,240,38,87,0.437,9,35,0.257,15,26,0.577,11,24,35,23,6,5,14,26,100,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200464,"DEC 20, 2022",PHX vs. WAS,L,19,13,0.594,240,41,89,0.461,13,32,0.406,15,19,0.789,15,29,44,26,2,1,14,23,110,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200459,"DEC 19, 2022",PHX vs. LAL,W,19,12,0.613,240,46,93,0.495,20,39,0.513,18,24,0.75,15,36,51,21,10,5,8,16,130,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200444,"DEC 17, 2022",PHX vs. NOP,W,18,12,0.6,240,39,83,0.47,15,41,0.366,25,35,0.714,10,25,35,23,6,3,8,13,118,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200427,"DEC 15, 2022",PHX @ LAC,W,17,12,0.586,240,44,95,0.463,9,32,0.281,14,18,0.778,15,38,53,27,8,8,8,18,111,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200411,"DEC 13, 2022",PHX @ HOU,L,16,12,0.571,240,33,103,0.32,13,51,0.255,18,19,0.947,18,26,44,22,13,7,9,24,97,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200395,"DEC 11, 2022",PHX @ NOP,L,16,11,0.593,265,49,105,0.467,13,38,0.342,13,17,0.765,19,23,42,34,7,5,14,24,124,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200384,"DEC 09, 2022",PHX @ NOP,L,16,10,0.615,240,43,86,0.5,22,44,0.5,9,13,0.692,8,29,37,30,6,3,16,25,117,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200373,"DEC 07, 2022",PHX vs. BOS,L,16,9,0.64,240,37,93,0.398,8,32,0.25,16,19,0.842,13,36,49,19,5,4,18,17,98,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200358,"DEC 05, 2022",PHX @ DAL,L,16,8,0.667,240,40,91,0.44,13,37,0.351,18,26,0.692,13,28,41,28,5,5,11,16,111,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200345,"DEC 04, 2022",PHX @ SAS,W,16,7,0.696,240,49,94,0.521,19,37,0.514,16,20,0.8,14,31,45,38,5,0,11,18,133,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200334,"DEC 02, 2022",PHX vs. HOU,L,15,7,0.682,240,45,85,0.529,17,37,0.459,14,19,0.737,9,28,37,30,9,5,17,28,121,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200321,"NOV 30, 2022",PHX vs. CHI,W,15,6,0.714,240,49,93,0.527,15,33,0.455,19,21,0.905,10,36,46,22,3,5,13,28,132,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200307,"NOV 28, 2022",PHX @ SAC,W,14,6,0.7,240,50,94,0.532,10,32,0.313,12,14,0.857,11,34,45,26,9,7,17,20,122,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200289,"NOV 26, 2022",PHX vs. UTA,W,13,6,0.684,240,42,92,0.457,6,22,0.273,23,30,0.767,18,30,48,23,8,6,6,20,113,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200283,"NOV 25, 2022",PHX vs. DET,W,12,6,0.667,240,42,87,0.483,7,29,0.241,17,26,0.654,11,32,43,25,7,7,13,18,108,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200259,"NOV 22, 2022",PHX vs. LAL,W,11,6,0.647,240,48,102,0.471,16,34,0.471,3,5,0.6,8,41,49,23,8,7,15,22,115,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200240,"NOV 20, 2022",PHX vs. NYK,W,10,6,0.625,240,43,101,0.426,17,39,0.436,13,18,0.722,22,38,60,35,3,8,13,22,116,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200232,"NOV 18, 2022",PHX @ UTA,L,9,6,0.6,240,49,94,0.521,9,30,0.3,26,28,0.929,12,30,42,29,7,6,14,25,133,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200220,"NOV 16, 2022",PHX vs. GSW,W,9,5,0.643,240,44,86,0.512,21,40,0.525,21,25,0.84,8,39,47,33,5,8,15,22,130,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200202,"NOV 14, 2022",PHX @ MIA,L,8,5,0.615,240,48,99,0.485,14,36,0.389,2,4,0.5,20,25,45,22,9,4,11,22,112,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200177,"NOV 11, 2022",PHX @ ORL,L,8,4,0.667,240,38,95,0.4,13,42,0.31,8,9,0.889,11,27,38,22,7,4,11,14,97,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200167,"NOV 09, 2022",PHX @ MIN,W,8,3,0.727,240,47,97,0.485,16,35,0.457,19,20,0.95,10,26,36,31,10,3,11,21,129,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200148,"NOV 07, 2022",PHX @ PHI,L,7,3,0.7,240,32,73,0.438,6,19,0.316,18,22,0.818,6,31,37,19,8,5,13,24,88,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200139,"NOV 05, 2022",PHX vs. POR,W,7,2,0.778,240,35,82,0.427,11,30,0.367,21,28,0.75,11,33,44,22,7,14,14,22,102,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200130,"NOV 04, 2022",PHX vs. POR,L,6,2,0.75,240,36,83,0.434,14,34,0.412,20,21,0.952,13,26,39,26,8,4,17,22,106,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200106,"NOV 01, 2022",PHX vs. MIN,W,6,1,0.857,240,41,89,0.461,17,43,0.395,17,22,0.773,7,27,34,31,9,8,9,20,116,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200094,"OCT 30, 2022",PHX vs. HOU,W,5,1,0.833,240,45,84,0.536,12,40,0.3,22,30,0.733,10,26,36,29,9,8,11,22,124,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200079,"OCT 28, 2022",PHX vs. NOP,W,4,1,0.8,240,48,92,0.522,10,33,0.303,18,20,0.9,14,33,47,33,7,7,12,18,124,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200055,"OCT 25, 2022",PHX vs. GSW,W,3,1,0.75,240,47,92,0.511,12,29,0.414,28,34,0.824,14,34,48,31,8,4,13,19,134,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200043,"OCT 23, 2022",PHX @ LAC,W,2,1,0.667,240,43,93,0.462,15,42,0.357,11,12,0.917,13,36,49,29,5,3,12,18,112,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200027,"OCT 21, 2022",PHX @ POR,L,1,1,0.5,265,43,94,0.457,10,27,0.37,15,21,0.714,9,32,41,31,14,1,16,29,111,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
1610612756,22200013,"OCT 19, 2022",PHX vs. DAL,W,1,0,1.0,240,40,85,0.471,8,22,0.364,19,22,0.864,8,32,40,25,4,5,12,29,107,Phoenix Suns 2022-23,2022-23,Incorporación de Durant vía trade a mitad de temporada
