PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,player_name
203954,2022-23,0,1610612755,PHI,29.0,9,9,336,66,153,0.431,5,28,0.179,76,84,0.905,16,72,88,24,6,25,35,27,213,Joel Embiid
203954,2023-24,0,1610612755,PHI,30.0,6,6,248,59,133,0.444,13,39,0.333,67,78,0.859,19,46,65,34,7,9,25,20,198,Joel Embiid
203954,2025-26,0,1610612755,PHI,32.0,7,7,233,57,124,0.46,5,28,0.179,49,59,0.831,8,43,51,38,2,6,15,17,168,Joel Embiid
1630178,2020-21,0,1610612755,PHI,20.0,12,0,157,29,66,0.439,4,12,0.333,14,22,0.636,1,21,22,16,3,6,5,16,76,Tyrese Maxey
1630178,2021-22,0,1610612755,PHI,21.0,12,12,485,88,182,0.484,26,69,0.377,47,50,0.94,6,36,42,47,9,2,21,24,249,Tyrese Maxey
1630178,2022-23,0,1610612755,PHI,22.0,11,11,423,82,192,0.427,34,85,0.4,28,31,0.903,9,44,53,25,15,5,8,26,226,Tyrese Maxey
1630178,2023-24,0,1610612755,PHI,23.0,6,6,267,66,138,0.478,22,55,0.4,25,28,0.893,1,30,31,41,5,2,13,16,179,Tyrese Maxey
1630178,2025-26,0,1610612755,PHI,25.0,11,11,437,96,211,0.455,26,74,0.351,43,48,0.896,4,40,44,65,9,4,23,22,261,Tyrese Maxey
1642845,2025-26,0,1610612755,PHI,20.0,11,11,407,60,145,0.414,21,72,0.292,13,18,0.722,23,44,67,37,11,4,18,29,154,VJ Edgecombe
203484,2015-16,0,1610612765,DET,23.0,4,4,161,22,50,0.44,12,27,0.444,5,7,0.714,2,15,17,11,7,1,2,7,61,Kentavious Caldwell-Pope
203484,2019-20,0,1610612747,LAL,27.0,21,21,608,79,189,0.418,45,119,0.378,22,27,0.815,8,36,44,28,21,4,15,40,225,Kentavious Caldwell-Pope
203484,2020-21,0,1610612747,LAL,28.0,5,5,146,11,29,0.379,4,19,0.211,5,5,1.0,2,12,14,5,5,0,2,15,31,Kentavious Caldwell-Pope
203484,2022-23,0,1610612743,DEN,30.0,20,20,671,74,162,0.457,35,92,0.38,29,35,0.829,14,51,65,31,26,13,15,48,212,Kentavious Caldwell-Pope
203484,2023-24,0,1610612743,DEN,31.0,12,12,420,34,86,0.395,18,55,0.327,11,11,1.0,5,30,35,31,17,5,10,37,97,Kentavious Caldwell-Pope
203484,2024-25,0,1610612753,ORL,32.0,5,5,163,8,30,0.267,6,23,0.261,3,4,0.75,1,14,15,9,7,3,2,11,25,Kentavious Caldwell-Pope
1629731,2022-23,0,1610612739,CLE,26.0,2,0,11,0,1,0.0,0,1,0.0,2,2,1.0,0,3,3,0,0,0,0,0,2,Dean Wade
