hustle_stat,r2_base,r2_with_stat,delta_r2,coef,p_value_coef,f_test_p_value
SCREEN_ASSISTS,0.5047629911177159,0.5057911737482041,0.0010281826304882058,-0.841923653499938,0.419559669772563,0.41955966977252357
CHARGES_DRAWN,0.5047629911177159,0.5053492530669356,0.0005862619492196242,-3.2018951721367315,0.5422737190156951,0.54227371901561
LOOSE_BALLS_RECOVERED,0.5047629911177159,0.5052293748203089,0.00046638370259299844,0.5484905636477726,0.5867968299279303,0.5867968299278508
DEFLECTIONS,0.5047629911177159,0.505123327984237,0.00036033686652103825,-0.3124558466114146,0.6328710621246664,0.6328710621245951
CONTESTED_SHOTS,0.5047629911177159,0.5048810621499824,0.00011807103226646465,0.048523378302042355,0.7845401556175237,0.7845401556174851
BOX_OUTS,0.5047629911177159,0.504822493968178,5.9502850462078705e-05,0.045798703687503946,0.846108463796891,0.8461084637967707
