player_id,season,duration,event,historical_load_prior,recency_prior,age_score,mpg_prior,age,season_length
255,2010-11,80.0,1,0.05284552845528456,0.027874564459930324,0.85,30.0,38.0,82
255,2011-12,49.0,1,0.012195121951219523,0.017421602787456462,0.85,30.1125,39.0,66
255,2012-13,29.0,1,0.09805370780980538,0.1558969485798754,0.85,28.122448979591837,40.0,82
406,2010-11,37.0,1,0.23170731707317072,0.26306620209059234,0.85,23.39622641509434,39.0,82
436,2010-11,57.0,1,0.32926829268292684,0.2578397212543554,0.85,22.356164383561644,38.0,82
436,2011-12,28.0,1,0.3008130081300813,0.27526132404181186,0.85,10.385964912280702,39.0,66
436,2012-13,7.0,1,0.33013057403301305,0.43179178545032204,0.85,6.785714285714286,40.0,82
467,2010-11,80.0,1,0.020325203252032537,0.020905923344947754,0.85,36.0125,38.0,82
467,2011-12,48.0,1,0.020325203252032537,0.0226480836236934,0.85,33.1625,39.0,66
467,2012-13,76.0,1,0.10716925351071693,0.1662971175166297,0.85,28.729166666666668,40.0,82
686,2010-11,73.0,1,0.11788617886178865,0.1114982578397213,0.85,21.0,36.0,82
689,2010-11,10.0,1,0.508130081300813,0.4529616724738676,0.85,16.448979591836736,38.0,82
693,2010-11,4.0,1,0.19512195121951223,0.22125435540069688,0.85,9.25,35.0,82
703,2010-11,52.0,1,0.10975609756097564,0.11498257839721257,0.85,14.985714285714286,38.0,82
703,2011-12,53.0,1,0.1829268292682927,0.25609756097560976,0.85,22.653846153846153,39.0,66
703,2012-13,39.0,1,0.23638827297363885,0.23798965262379898,0.85,15.150943396226415,40.0,82
708,2010-11,71.0,1,0.19918699186991873,0.1968641114982579,0.85,29.855072463768117,35.0,82
708,2011-12,60.0,1,0.19918699186991873,0.16550522648083626,0.85,31.267605633802816,36.0,66
708,2012-13,68.0,1,0.12786400591278643,0.11292366170414954,0.85,31.066666666666666,37.0,82
708,2013-14,54.0,1,0.13192904656319293,0.14269876464998418,0.85,29.735294117647058,38.0,82
708,2014-15,42.0,1,0.2010347376201035,0.25688945201140323,0.85,20.537037037037038,39.0,82
708,2015-16,38.0,1,0.31300813008130085,0.3658536585365854,0.85,20.25531914893617,40.0,82
711,2010-11,7.0,1,0.5528455284552846,0.5714285714285714,0.85,20.357142857142858,36.0,82
711,2011-12,30.0,1,0.7601626016260162,0.7874564459930314,0.85,7.142857142857143,37.0,66
711,2012-13,37.0,1,0.6492978566149298,0.6426987646499841,0.85,9.1,38.0,82
948,2010-11,59.0,1,0.12601626016260162,0.13066202090592333,0.85,31.294117647058822,37.0,82
948,2011-12,40.0,1,0.2073170731707317,0.2229965156794425,0.85,26.10169491525424,38.0,66
948,2012-13,24.0,1,0.16136979551613698,0.15468271565832545,0.85,22.915254237288135,39.0,82
951,2010-11,80.0,1,0.05691056910569107,0.040069686411149844,0.85,35.2375,35.0,82
951,2011-12,46.0,1,0.028455284552845555,0.026132404181184694,0.85,36.125,36.0,66
951,2012-13,79.0,1,0.11727026361172703,0.18361313483264702,0.85,34.02173913043478,37.0,82
951,2013-14,73.0,1,0.12133530426213353,0.11097033048252561,0.85,25.759493670886076,38.0,82
956,2010-11,51.0,1,0.15853658536585366,0.21254355400696864,0.85,23.272727272727273,35.0,82
956,2011-12,15.0,1,0.24390243902439024,0.31358885017421606,0.85,15.980392156862745,36.0,66
959,2010-11,75.0,1,0.04065040650406504,0.036585365853658534,0.85,32.839506172839506,37.0,82
959,2011-12,62.0,1,0.06504065040650404,0.06620209059233448,0.85,33.29333333333334,38.0,66
959,2012-13,50.0,1,0.05272234540527221,0.06076443881321926,0.85,31.629032258064516,39.0,82
959,2013-14,15.0,1,0.17873860556787383,0.2525076549466793,0.85,32.54,40.0,82
965,2010-11,82.0,0,0.0,0.0,0.85,27.158536585365855,36.0,82
965,2011-12,43.0,1,0.0,0.0,0.85,28.01219512195122,37.0,66
965,2012-13,9.0,1,0.015151515151515138,0.02597402597402595,0.85,23.936507936507937,38.0,82
965,2013-14,81.0,1,0.21433850702143384,0.3544504276211593,0.85,17.424242424242426,39.0,82
977,2010-11,82.0,0,0.036585365853658534,0.0627177700348432,0.85,38.83561643835616,32.0,82
977,2011-12,58.0,1,0.036585365853658534,0.0313588850174216,0.85,33.890243902439025,33.0,66
977,2012-13,78.0,1,0.07698940625769894,0.08494351177278006,0.85,38.48275862068966,34.0,82
977,2013-14,6.0,1,0.056664203005666436,0.06250659909196497,0.85,38.62820512820513,35.0,82
977,2014-15,35.0,1,0.36560729243656076,0.5608700242846585,0.85,29.5,36.0,82
977,2015-16,66.0,1,0.516260162601626,0.5993031358885018,0.85,34.48571428571429,37.0,82
978,2010-11,6.0,1,0.1869918699186992,0.22125435540069688,0.85,31.403225806451612,34.0,82
979,2010-11,24.0,1,0.2682926829268293,0.2020905923344948,0.85,28.442857142857143,32.0,82
979,2011-12,25.0,1,0.34146341463414637,0.47038327526132406,0.85,17.958333333333332,33.0,66
979,2012-13,55.0,1,0.4916235525991624,0.5779748706577975,0.85,22.8,34.0,82
979,2013-14,44.0,1,0.5525991623552599,0.4666877837609545,0.85,18.70909090909091,35.0,82
980,2010-11,72.0,1,0.17886178861788615,0.20034843205574912,0.85,20.921875,36.0,82
1112,2010-11,54.0,1,0.1991869918699187,0.19860627177700346,0.85,28.6231884057971,36.0,82
1112,2011-12,62.0,1,0.27235772357723576,0.2857142857142857,0.85,22.925925925925927,37.0,66
1495,2010-11,76.0,1,0.06097560975609758,0.059233449477351936,0.85,31.256410256410255,35.0,82
1495,2011-12,58.0,1,0.06910569105691056,0.06794425087108012,0.85,28.36842105263158,36.0,66
1495,2012-13,69.0,1,0.08105444690810544,0.09713863372399957,0.85,28.17241379310345,37.0,82
1495,2013-14,74.0,1,0.11763981276176398,0.13567733079928204,0.85,30.115942028985508,38.0,82
1495,2014-15,77.0,1,0.125769894062577,0.1183613134832647,0.85,29.16216216216216,39.0,82
1495,2015-16,61.0,1,0.10569105691056913,0.08536585365853662,0.85,28.92207792207792,40.0,82
1497,2010-11,51.0,1,0.06504065040650409,0.08013937282229966,0.85,34.10958904109589,34.0,82
1497,2011-12,20.0,1,0.08943089430894309,0.10627177700348432,0.85,32.083333333333336,35.0,66
1497,2012-13,22.0,1,0.30955900468095593,0.44879104635202205,0.85,30.35,36.0,82
1497,2013-14,19.0,1,0.5168760778516877,0.6346742688206103,0.85,19.0,37.0,82
1498,2010-11,4.0,1,0.08536585365853659,0.09756097560975609,0.85,22.153846153846153,36.0,82
1499,2010-11,38.0,1,0.35772357723577236,0.5121951219512196,0.85,8.933333333333334,35.0,82
1499,2011-12,27.0,1,0.47154471544715454,0.5487804878048781,0.85,9.921052631578947,36.0,66
1503,2010-11,72.0,1,0.467479674796748,0.554006968641115,0.85,7.666666666666667,32.0,82
1503,2011-12,52.0,1,0.44308943089430897,0.3327526132404181,0.85,23.416666666666668,33.0,66
1515,2010-11,72.0,1,0.012195121951219523,0.013937282229965169,0.85,28.25925925925926,36.0,82
1515,2011-12,51.0,1,0.05284552845528456,0.07665505226480837,0.85,29.041666666666668,37.0,66
1536,2010-11,67.0,1,0.13414634146341464,0.10278745644599305,0.85,33.333333333333336,33.0,82
1536,2011-12,26.0,1,0.1585365853658537,0.14808362369337982,0.85,35.8955223880597,34.0,66
1536,2012-13,55.0,1,0.16100024636610002,0.2185091331432795,0.85,25.78723404255319,35.0,82
1536,2013-14,9.0,1,0.2666913032766691,0.29653679653679654,0.85,19.545454545454547,36.0,82
1630,2011-12,7.0,1,0.2886178861788618,0.4529616724738676,0.85,17.652173913043477,36.0,66
1710,2010-11,56.0,1,0.1585365853658537,0.08362369337979096,0.85,27.4375,33.0,82
1710,2011-12,39.0,1,0.028455284552845555,0.026132404181184694,0.85,28.55,34.0,66
1712,2010-11,56.0,1,0.08130081300813008,0.12020905923344946,0.85,38.90243902439025,35.0,82
1712,2011-12,65.0,1,0.17479674796747965,0.23867595818815326,0.85,32.892857142857146,36.0,66
1712,2012-13,76.0,1,0.17578221236757818,0.12712490761271247,0.85,33.09230769230769,37.0,82
1712,2013-14,22.0,1,0.13513180586351314,0.09143701826628652,0.85,21.526315789473685,38.0,82
1713,2010-11,22.0,1,0.06097560975609754,0.06620209059233448,0.85,30.8,34.0,82
1713,2011-12,61.0,1,0.07317073170731707,0.09059233449477351,0.85,28.10958904109589,35.0,66
1713,2012-13,81.0,1,0.09029317565902932,0.08684405025868443,0.85,25.278688524590162,36.0,82
1713,2013-14,81.0,1,0.0659029317565903,0.04429310526871504,0.85,25.839506172839506,37.0,82
1713,2014-15,66.0,1,0.03338260655333828,0.021275472494984706,0.85,24.358024691358025,38.0,82
1713,2015-16,60.0,1,0.07317073170731707,0.11672473867595816,0.85,16.53030303030303,39.0,82
1713,2016-17,73.0,1,0.15853658536585366,0.21080139372822299,0.85,16.75,40.0,82
1713,2017-18,58.0,1,0.19105691056910568,0.16724738675958187,0.85,24.65753424657534,41.0,82
1713,2018-19,76.0,1,0.22357723577235775,0.2369337979094077,0.85,17.689655172413794,42.0,82
1713,2019-20,60.0,1,0.15853658536585366,0.1411149825783972,0.85,17.5,43.0,72
1717,2010-11,73.0,1,0.028455284552845555,0.019163763066202107,0.85,37.51851851851852,33.0,82
1717,2011-12,62.0,1,0.044715447154471545,0.06794425087108014,0.85,34.3013698630137,34.0,66
1717,2012-13,53.0,1,0.060852426706085226,0.06773307992820185,0.85,33.53225806451613,35.0,82
1717,2013-14,80.0,1,0.17467356491746733,0.23508605215922287,0.85,31.339622641509433,36.0,82
