season,group_name,min_together,net_rating,usage_clash,playmaking_spacing_synergy,post_creator_synergy,onball_offball_shooter_synergy,drive_interior_synergy
2010-11,R. Felton - D. Gallinari,1465.0,-1.0,0.0,48.91320601641219,0.0,0.0,0.0
2010-11,R. Felton - W. Chandler,1402.0,1.0,0.0,47.24852027767629,0.0,0.0,0.0
2010-11,H. Turkoglu - J. Richardson,1283.0,9.8,0.0,39.44079001174577,0.0,0.0,0.0
2010-11,C. Billups - C. Anthony,1255.0,4.7,0.044029016131084696,36.17079975640499,0.0,0.0,0.0
2010-11,W. Chandler - D. Gallinari,1032.0,4.4,0.0,17.565399239543726,0.0,0.0,0.0
2010-11,N. Krstic - J. Green,734.0,0.4,0.0,1.935647868019719,0.0,0.0,0.0
2010-11,K. Hinrich - A. Thornton,710.0,-5.2,0.0,8.310964972223786,0.0,0.0,0.0
2010-11,C. Billups - C. Anthony,627.0,-0.8,0.044029016131084696,36.17079975640499,0.0,0.0,0.0
2010-11,V. Carter - M. Gortat,621.0,2.4,0.0,7.162036917182282,0.0,0.0,0.0
2010-11,D. Harris - D. Favors,615.0,-7.0,0.0,2.6278283052351377,0.0,0.0,0.0
2010-11,H. Turkoglu - G. Arenas,602.0,10.3,0.0,55.995584237939084,0.0,0.0,0.0
2010-11,N. Mohammed - G. Wallace,596.0,0.4,0.0,1.6734636093575936,0.0,0.0,0.0
2010-11,J. Richardson - G. Arenas,518.0,6.8,0.0,47.65905818946954,0.0,0.0,0.0
2010-11,M. Evans - J. Crawford,518.0,-14.6,0.0,20.610403545837592,0.0,0.0,0.0
2010-11,V. Carter - R. Lewis,517.0,9.3,0.0,22.548579668348953,0.0,0.0,0.0
2010-11,M. Pietrus - M. Gortat,510.0,-4.8,0.0,9.589288927813037,0.0,0.0,0.0
2010-11,C. Anthony - S. Williams,505.0,0.5,0.0,4.158117128237085,0.0,0.0,0.0
2010-11,C. Billups - S. Williams,463.0,-2.7,0.0,7.161569858712715,0.0,0.0,0.0
2010-11,G. Arenas - K. Hinrich,437.0,-7.2,0.0,48.738516437392946,0.0,0.0,0.0
2010-11,D. Harris - S. Vujacic,436.0,-6.5,0.0,54.26911380846134,0.0,0.0,0.0
2010-11,H. Turkoglu - J. Richardson,416.0,-2.0,0.0,39.44079001174577,0.0,0.0,0.0
2010-11,J. Jack - M. Thornton,386.0,-3.4,0.0,30.791034937376402,0.0,0.0,0.0
2010-11,S. Battier - A. Brooks,355.0,-2.6,0.0,44.99387309394983,0.0,0.0,0.0
2010-11,J. Jeffries - C. Anthony,343.0,15.5,0.0,8.642085074494164,0.0,0.0,0.0
2010-11,R. Felton - T. Mozgov,335.0,-5.7,0.0,4.459499033599501,0.0,0.0,0.0
2010-11,M. Bibby - M. Evans,329.0,-2.7,0.0,21.947903794211054,0.0,0.0,0.0
2010-11,M. Gortat - A. Brooks,323.0,-2.9,0.0,8.664585737205272,0.0,0.0,0.0
2010-11,D. Gallinari - T. Mozgov,321.0,3.8,0.0,5.166386091196704,0.0,0.0,0.0
2010-11,J. Jack - C. Landry,309.0,5.9,0.0,2.9130030401043907,0.0,0.0,0.0
2010-11,R. Lewis - K. Hinrich,305.0,-12.3,0.0,28.829520452683518,0.0,0.0,0.0
2011-12,M. Camby - G. Wallace,791.0,2.0,0.0,7.7896158976639205,0.0,0.0,0.0
2011-12,N. Young - J. McGee,771.0,-11.1,0.0,4.268865096843839,0.0,0.0,0.0
2011-12,M. Ellis - E. Udoh,528.0,10.2,0.0,5.757314611671786,0.0,0.0,0.0
2012-13,J. Calderon - E. Davis,757.0,-2.0,0.0,6.538649470129035,0.0,0.0,0.0
2012-13,B. Udrih - T. Harris,609.0,-7.9,0.0,27.153342706469203,0.0,0.0,0.0
2012-13,S. Livingston - W. Ellington,496.0,3.2,0.0,27.893905671034094,0.0,0.0,0.0
2012-13,T. Douglas - M. Morris,465.0,1.8,0.0,32.07133075756835,0.0,0.0,0.0
2012-13,J. Redick - J. McRoberts,455.0,-1.5,0.0,32.4057425811425,0.0,0.0,0.0
2012-13,S. Livingston - M. Speights,443.0,-1.0,0.0,1.601928628072958,0.0,0.0,0.0
2012-13,J. Redick - G. Ayon,417.0,-9.0,0.0,23.73329901948169,0.0,0.0,0.0
2012-13,M. Speights - W. Ellington,406.0,-2.5,0.0,7.394396332144677,0.0,0.0,0.0
2012-13,M. Speights - W. Ellington,344.0,4.9,0.0,7.394396332144677,0.0,0.0,0.0
2013-14,S. Hawes - E. Turner,1400.0,-9.2,0.0,25.22813542732571,6.4471237264759536,29.1459536415002,105.7142501223473
2013-14,J. Salmons - G. Vasquez,730.0,5.6,0.0,40.15271250725439,1.1159627871713051,26.76537979791269,52.86557148970512
2013-14,J. Salmons - P. Patterson,637.0,5.8,0.0,17.110698304838607,1.7041590904277688,24.20817537946746,39.77841581222828
2013-14,R. Sessions - J. Adrien,628.0,-5.3,0.0,2.8671974037827694,7.884792860402617,6.118350996399777,127.26413467876883
2013-14,P. Patterson - G. Vasquez,617.0,11.9,0.0,33.911825959078726,3.4850981203686175,27.167502498690116,66.64911346034458
2013-14,R. Gay - D. Williams,568.0,-5.5,0.0,8.925154024166273,4.597763990257076,17.462049921631113,53.02593163454484
2013-14,L. Deng - S. Hawes,552.0,-2.3,0.0,24.118487187414814,7.898897021830882,23.126472024895214,62.886506125928676
2013-14,D. Williams - Q. Acy,520.0,-8.6,0.0,3.033091436865022,1.1285921625544266,3.5318888658511294,21.298818162969106
2013-14,E. Turner - L. Allen,509.0,-6.2,0.0,7.132452981192476,6.831532613045218,20.077446363160647,78.71948779511806
2013-14,R. Gay - M. Thornton,468.0,12.5,0.0,23.885791600580145,3.8887608700930967,42.38049359680342,40.83816550704634
2013-14,S. Blake - J. Crawford,396.0,-7.3,0.0,68.14479521081873,1.1423747792755932,39.837064473060856,62.65851242516905
2013-14,R. Evans - R. Gay,374.0,-2.3,0.0,2.356343960034614,4.532131711383956,0.9341078304222303,74.41649771971052
2013-14,C. Hayes - G. Vasquez,360.0,3.6,0.0,10.098372110210088,3.049441357672178,0.7875143607694013,75.83066721310374
2013-14,M. Thornton - D. Williams,341.0,-5.2,0.0,10.355746034551318,1.3800026509963328,17.77806616129419,22.001512330288897
2013-14,J. Salmons - C. Hayes,335.0,2.9,0.0,5.835439239565493,1.4937607622811189,0.6182454423326393,43.714938623258995
2013-14,J. Salmons - P. Patterson,315.0,-5.0,0.0,17.110698304838607,1.7041590904277688,24.20817537946746,39.77841581222828
2014-15,J. Smith - C. Brewer,919.0,10.7,0.0,28.212675599679894,5.752429049514315,15.302028013486353,65.79224340909673
2014-15,J. Smith - T. Mozgov,919.0,11.8,0.0,7.495144152035648,5.210039227634535,9.03042998057661,31.587767071638034
2014-15,A. Afflalo - T. Mozgov,796.0,2.0,0.0,4.832760184814026,4.0757821894976685,7.226481571341168,36.60887360492837
2014-15,M. Williams - T. Young,683.0,-0.4,0.0,29.302338089191007,14.299155897512511,32.056054381116006,52.045237917382536
2014-15,M. Carter-Williams - K. McDaniels,645.0,-3.0,0.0,34.47142424659419,1.925185083253062,19.97992569148204,134.56276868033575
2014-15,G. Dragic - M. Plumlee,631.0,4.2,0.0,3.620557332115121,6.935221562357241,1.9040201005025126,106.61443581544083
2014-15,K. Perkins - R. Jackson,624.0,6.4,0.0,6.3479342956694875,11.57441513190642,4.515679442508711,133.17969138875063
2014-15,E. Kanter - D. Waiters,579.0,4.6,0.9101708353688307,5.733542989741084,6.796989496824621,22.80034807034685,74.40360893991208
2014-15,R. Rondo - J. Green,568.0,-2.5,0.0,44.088596217804586,16.73912898745018,20.119899649863967,78.53794330640989
2014-15,D. Augustin - K. Singler,553.0,-4.6,0.0,40.10081933518937,0.9349530073431866,24.48055830639586,58.50058857601974
2014-15,G. Dragic - I. Thomas,498.0,0.0,0.0,55.3640787949015,0.16155061624354788,33.3821026019172,70.98528389339513
2014-15,D. Augustin - J. Jerebko,482.0,0.9,0.0,35.88340370572749,0.3787591277134767,22.977696090606525,91.09210670110775
2014-15,S. Williams - N. Cole,449.0,-7.1,0.0,34.598687532564234,1.1623189905828126,27.659936180379113,45.96206495814443
2014-15,I. Thomas - M. Plumlee,445.0,6.3,0.0,7.39800974746269,8.572736218753095,3.067620838840786,111.11289937520742
2014-15,L. Amundson - L. Thomas,433.0,-8.0,0.0,1.492601285407214,4.766305409833601,5.21714706596033,26.727674478031478
2014-15,A. Tolliver - R. Jackson,429.0,10.6,0.0,59.09640115641511,0.807496760043864,51.512311833316716,83.85923636726149
2014-15,J. Smith - K. Singler,429.0,-13.1,0.0,27.818367761922417,3.700740404052486,13.232754805449565,45.74591820867673
2014-15,C. Brewer - T. Young,396.0,-8.3,0.0,15.44813749001429,5.826154710519674,13.120328960552843,42.03908926370114
2014-15,J. Smith - I. Shumpert,395.0,10.1,0.0,38.625141848442816,0.9562476358592864,43.256688942125834,32.1230614046148
2014-15,I. Thomas - J. Crowder,378.0,9.9,0.0,41.7587143589841,1.4242349410177995,41.35068290181031,78.79019052865527
2014-15,D. Augustin - D. Waiters,367.0,3.3,0.0,37.93580093863455,2.1099353581864873,26.04245993093067,63.42238554856991
2014-15,T. Prince - R. Jackson,345.0,-4.2,0.0,21.82922589221802,6.91727170467328,35.0833418549954,82.32007362716024
2014-15,J. Jerebko - J. Crowder,326.0,14.8,0.0,17.866773290683728,0.6199120351859256,17.55073970411835,36.33298680527788
2014-15,C. Brewer - P. Prigioni,321.0,5.9,0.0,35.74592446617261,0.6209870627695255,16.338652092617743,37.905631351978414
2014-15,J. Nelson - W. Barton,317.0,9.8,0.0,39.72109079554522,0.3128751344412449,25.853415674981783,95.76133643271001
2014-15,A. Stoudemire - I. Shumpert,316.0,-6.0,0.0,6.3114912746230445,18.35794337089876,8.684369244216901,36.9114350825711
2014-15,E. Kanter - K. Singler,315.0,-2.8,0.0,5.942170910215441,4.421837954850015,8.342000824657251,28.197479641274093
2014-15,A. Stoudemire - P. Prigioni,312.0,4.0,0.0,7.096777313057562,29.616903996325217,5.62154582597974,44.68080168266325
2014-15,J. Smith - D. Augustin,310.0,-11.3,0.0,42.62277182239901,11.338082884356487,22.85339500845732,119.75993435954084
2014-15,T. Mozgov - I. Shumpert,306.0,17.9,0.0,4.7517581072231865,4.940352475585798,6.188355208837514,39.60891723372149
2015-16,J. Green - C. Lee,686.0,-0.3,0.0,14.519827890148182,2.3797986574883874,20.971605982083872,35.45939432941169
2015-16,C. Frye - T. Harris,596.0,7.9,0.0,24.381129386572642,4.596301401187553,15.529614644382985,44.230045796885385
2015-16,C. Lee - M. Chalmers,549.0,5.8,0.0,28.37983362572716,0.11000249018436725,20.245715665880915,54.32667099796478
2015-16,T. Lawson - M. Thornton,520.0,-6.3,0.0,60.56612434021498,0.8554958845788763,37.50421008732317,63.24700969944761
2015-16,J. Green - M. Chalmers,518.0,-0.7,0.0,29.139553671094525,6.957261160889631,17.857780303610724,81.03370015022455
2016-17,M. Barnes - D. Cousins,835.0,-2.9,0.0,46.80365111561866,16.21657803848473,20.690576174551836,86.9296091223069
2016-17,T. Jones - L. Galloway,633.0,-0.1,0.0,17.163072431346155,3.7449309432853357,19.355293716170742,32.20763462978586
2016-17,T. Jones - B. Hield,490.0,-6.2,0.0,16.977930096414138,3.8556254917387873,20.75524410246836,77.0709237354812
2016-17,J. Lauvergne - J. Grant,406.0,-7.0,0.0,10.907828683400204,1.5738093016435837,3.3652914594969277,40.18396406243752
2016-17,T. Gibson - D. McDermott,377.0,1.7,0.0,6.88656576689031,4.934839228488784,11.205684314125568,20.97339078459378
2016-17,L. Galloway - B. Hield,325.0,-13.0,0.0,33.3181029201552,0.0,59.397794568102924,30.90223606289565
2017-18,A. Bradley - T. Harris,1090.0,-7.1,1.3448262855313455,27.391549166100823,2.7430192789160195,45.44557867611902,53.210235077855344
2017-18,J. Clarkson - L. Nance Jr.,475.0,4.4,0.0,13.884953049253253,2.4291901289872886,14.583840619192692,100.82782339403609
2017-18,C. Brewer - J. Clarkson,457.0,-10.1,0.0,25.552079593825322,0.07384994102261655,21.701657284199978,54.84835119749731
2017-18,J. Nelson - D. Cunningham,421.0,4.6,0.0,29.50573656422968,0.5864453525424287,18.165881946981184,57.34632871265104
2017-18,J. Johnson - R. Hood,348.0,-9.9,0.0,27.562828150034917,4.030209346230411,44.89807638451755,55.650624009255495
2017-18,D. Wade - C. Frye,335.0,12.9,0.0,36.95260791366907,7.427428057553957,50.00341726618704,75.17023381294963
2017-18,E. Ilyasova - M. Belinelli,323.0,14.0,0.0,28.085367439457773,1.594456567239951,38.801392983424925,24.91338386312424
2017-18,D. Wade - J. Crowder,310.0,-2.1,0.0,35.82384868421053,3.2785137559808613,41.87301136363636,55.388352272727275
2017-18,E. Ilyasova - M. Belinelli,309.0,-6.4,0.0,28.085367439457773,1.594456567239951,38.801392983424925,24.91338386312424
2018-19,A. Bradley - T. Harris,1320.0,-2.1,0.0,27.671476599132973,3.504052021587189,38.357533398212865,56.24016632752367
2018-19,D. Jordan - H. Barnes,1303.0,-1.0,0.0,17.195513795332,5.915050787350018,0.6388704759123873,72.1941134233781
2018-19,M. Gasol - G. Temple,1284.0,-1.2,0.0,31.559898919442077,5.727618307455778,19.33361169908501,31.23927949932782
