held_out_season,comparable_name,x,y_actual,pred_bayes_loso,pred_fixed_current,beta_mu_fold,alpha_mu_fold
2010-11,ATL 2010-11,12.48424911262356,-0.8,2.148737793954849,2.621692313650948,0.1727463910977578,-0.007871185816256173
2010-11,BOS 2010-11,16.625458502399084,5.4,2.8641167708187187,3.4913462855038078,0.1727463910977578,-0.007871185816256173
2010-11,BKN 2010-11,13.23854852265687,-6.2,2.279040294845271,2.780095189757943,0.1727463910977578,-0.007871185816256173
2010-11,CHA 2010-11,-19.628650978085886,-4.0,-3.398649804398067,-4.122016705398036,0.1727463910977578,-0.007871185816256173
2010-11,CHI 2010-11,-5.537215644397662,7.3,-0.9644052051159977,-1.162815285323509,0.1727463910977578,-0.007871185816256173
2010-11,CLE 2010-11,-15.04012327077386,-9.0,-2.6059982025078456,-3.1584258868625104,0.1727463910977578,-0.007871185816256173
2010-11,DAL 2010-11,7.909560878041617,4.2,1.3584769110334456,1.6610077843887396,0.1727463910977578,-0.007871185816256173
2010-11,DEN 2010-11,23.52022794632046,4.8,4.055163309707231,4.939247868727296,0.1727463910977578,-0.007871185816256173
2010-11,DET 2010-11,-18.396780913820947,-3.6,-3.185848696494936,-3.8633239919023987,0.1727463910977578,-0.007871185816256173
2010-11,GSW 2010-11,-20.16592330983657,-2.3,-3.491461660744675,-4.23484389506568,0.1727463910977578,-0.007871185816256173
2010-11,HOU 2010-11,2.674071819515916,2.2,0.4540650705413331,0.5615550820983424,0.1727463910977578,-0.007871185816256173
2010-11,IND 2010-11,-4.626234664517995,-1.1,-0.8070365284830859,-0.9715092795487789,0.1727463910977578,-0.007871185816256173
2010-11,LAC 2010-11,-36.61304289401847,-3.1,-6.332642212865353,-7.688739007743878,0.1727463910977578,-0.007871185816256173
2010-11,LAL 2010-11,22.503930653513663,6.1,3.8796016200924353,4.725825437237869,0.1727463910977578,-0.007871185816256173
2010-11,MEM 2010-11,-12.702629001264668,2.3,-2.2022045032384434,-2.66755209026558,0.1727463910977578,-0.007871185816256173
2010-11,MIA 2010-11,10.326864146268818,7.5,1.7760573268085098,2.1686414707164516,0.1727463910977578,-0.007871185816256173
2010-11,MIL 2010-11,14.682371012350105,-0.8,2.528455419325557,3.083297912593522,0.1727463910977578,-0.007871185816256173
2010-11,MIN 2010-11,-11.672427091083064,-6.6,-2.0242408411525545,-2.451209689127443,0.1727463910977578,-0.007871185816256173
2010-11,NOP 2010-11,14.63735089160707,0.9,2.5206783559404125,3.073843687237485,0.1727463910977578,-0.007871185816256173
2010-11,NYK 2010-11,-14.112579001302263,0.8,-2.4457682773732214,-2.9636415902734754,0.1727463910977578,-0.007871185816256173
2010-11,OKC 2010-11,13.791699271818558,3.8,2.3745950904959736,2.8962568470818972,0.1727463910977578,-0.007871185816256173
2010-11,ORL 2010-11,32.41907362139315,5.5,5.592406785011929,6.808005460492562,0.1727463910977578,-0.007871185816256173
2010-11,PHI 2010-11,1.7650978177851189,1.5,0.2970430921406508,0.37067054173487496,0.1727463910977578,-0.007871185816256173
2010-11,PHX 2010-11,25.663996857950732,-0.9,4.425491652538928,5.389439340169654,0.1727463910977578,-0.007871185816256173
2010-11,POR 2010-11,17.021401975655493,1.5,2.932514576902475,3.5744944148876536,0.1727463910977578,-0.007871185816256173
2010-11,SAC 2010-11,-11.288398058671504,-5.3,-1.9579012117266936,-2.3705635923210155,0.1727463910977578,-0.007871185816256173
2010-11,SAS 2010-11,3.738725635936291,5.7,0.6379801750964076,0.7851323835466211,0.1727463910977578,-0.007871185816256173
2010-11,TOR 2010-11,-11.34470921821702,-6.3,-1.9676287613167116,-2.382388935825574,0.1727463910977578,-0.007871185816256173
2010-11,UTA 2010-11,-12.483564316068424,-1.8,-2.164361869453826,-2.621548506374369,0.1727463910977578,-0.007871185816256173
2010-11,WAS 2010-11,-39.39035030377836,-7.4,-6.812412044870436,-8.271973563793455,0.1727463910977578,-0.007871185816256173
2011-12,ATL 2011-12,2.9747168522861216,3.4,0.5012033227547111,0.6246905389800855,0.1716014791954036,-0.009262489285082325
2011-12,BOS 2011-12,9.508480466781409,2.5,1.6224068237152092,1.9967808980240958,0.1716014791954036,-0.009262489285082325
2011-12,BKN 2011-12,-11.564201240630696,-6.0,-1.9936965278906313,-2.428482260532446,0.1716014791954036,-0.009262489285082325
2011-12,CHA 2011-12,-39.09166721633972,-13.9,-6.717450407823445,-8.209250115431342,0.1716014791954036,-0.009262489285082325
2011-12,CHI 2011-12,9.14160475680272,8.2,1.5594504092020023,1.9197369989285709,0.1716014791954036,-0.009262489285082325
2011-12,CLE 2011-12,-48.67858904313957,-7.2,-8.362580374232998,-10.222503699059308,0.1716014791954036,-0.009262489285082325
2011-12,DAL 2011-12,18.35005302023731,1.0,3.139633752301724,3.8535111342498354,0.1716014791954036,-0.009262489285082325
2011-12,DEN 2011-12,22.239473234698025,2.9,3.8070640143156864,4.670289379286585,0.1716014791954036,-0.009262489285082325
2011-12,DET 2011-12,-26.96714778405851,-4.8,-4.636864938710573,-5.663101034652287,0.1716014791954036,-0.009262489285082325
2011-12,GSW 2011-12,-4.703178154588201,-3.4,-0.8163348175319263,-0.9876674124635222,0.1716014791954036,-0.009262489285082325
2011-12,HOU 2011-12,7.472763356374585,0.2,1.2730747563460056,1.569280304838663,0.1716014791954036,-0.009262489285082325
2011-12,IND 2011-12,12.73067624498188,3.3,2.175340385511595,2.6734420114461948,0.1716014791954036,-0.009262489285082325
2011-12,LAC 2011-12,21.063388296374896,2.6,3.605246099240002,4.423311542238728,0.1716014791954036,-0.009262489285082325
2011-12,LAL 2011-12,15.344454335344835,1.4,2.623868572106415,3.2223354104224153,0.1716014791954036,-0.009262489285082325
2011-12,MEM 2011-12,1.219816511926254,2.0,0.20005982850844056,0.25616146750451335,0.1716014791954036,-0.009262489285082325
2011-12,MIA 2011-12,-1.4267824507182212,6.0,-0.25410046831837213,-0.29962431465082645,0.1716014791954036,-0.009262489285082325
2011-12,MIL 2011-12,-4.164294466778259,0.3,-0.7238615795894661,-0.8745018380234343,0.1716014791954036,-0.009262489285082325
2011-12,MIN 2011-12,-12.888514697436932,-2.2,-2.2209506759969595,-2.7065880864617555,0.1716014791954036,-0.009262489285082325
2011-12,NOP 2011-12,9.235774042397608,-3.8,1.5756099979048594,1.9395125489034977,0.1716014791954036,-0.009262489285082325
2011-12,NYK 2011-12,-11.635538543850714,3.2,-2.0059381146449975,-2.4434630942086497,0.1716014791954036,-0.009262489285082325
2011-12,OKC 2011-12,27.112738161641783,6.1,4.643323484290316,5.693675013944774,0.1716014791954036,-0.009262489285082325
2011-12,ORL 2011-12,32.1223981119666,0.8,5.502988542032027,6.745703603512987,0.1716014791954036,-0.009262489285082325
2011-12,PHI 2011-12,10.340036571059995,4.2,1.7651030812433819,2.171407679922599,0.1716014791954036,-0.009262489285082325
2011-12,PHX 2011-12,6.075891745933106,-0.2,1.033369521748182,1.275937266645952,0.1716014791954036,-0.009262489285082325
2011-12,POR 2011-12,16.109803404055043,-0.6,2.7552036043979116,3.383058714851559,0.1716014791954036,-0.009262489285082325
2011-12,SAC 2011-12,-31.096224300819884,-5.7,-5.34542057669783,-6.530207103172176,0.1716014791954036,-0.009262489285082325
2011-12,SAS 2011-12,17.98486508922589,7.2,3.076966963155855,3.776821668737437,0.1716014791954036,-0.009262489285082325
2011-12,TOR 2011-12,-6.917742522784707,-3.3,-1.196357338887881,-1.4527259297847883,0.1716014791954036,-0.009262489285082325
2011-12,UTA 2011-12,-11.10651710501169,0.6,-1.9151572532141403,-2.332368592052455,0.1716014791954036,-0.009262489285082325
2011-12,WAS 2011-12,-28.786536675931472,-4.8,-4.94907476378766,-6.045172701945609,0.1716014791954036,-0.009262489285082325
2012-13,ATL 2012-13,21.4161407152031,0.4,3.702595742405911,4.497389550192651,0.17305374260152195,-0.0035475604408200996
2012-13,BOS 2012-13,18.538659715896895,-0.2,3.204636886211205,3.8931185403383477,0.17305374260152195,-0.0035475604408200996
2012-13,BKN 2012-13,-12.568189108165967,1.8,-2.178519723332625,-2.639319712714853,0.17305374260152195,-0.0035475604408200996
