PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,player_name
201952,2009-10,0,1610612737,ATL,22.0,9,0,59,7,21,0.333,2,5,0.4,0,0,0.0,0,2,2,4,3,1,4,3,16,Jeff Teague
201952,2010-11,0,1610612737,ATL,23.0,8,6,238,37,72,0.514,1,7,0.143,19,23,0.826,0,17,17,28,6,3,8,10,94,Jeff Teague
201952,2011-12,0,1610612737,ATL,24.0,6,6,225,30,73,0.411,7,17,0.412,17,19,0.895,4,18,22,25,5,5,10,18,84,Jeff Teague
201952,2012-13,0,1610612737,ATL,25.0,6,6,213,27,81,0.333,3,10,0.3,23,28,0.821,3,14,17,30,9,2,14,17,80,Jeff Teague
201952,2013-14,0,1610612737,ATL,26.0,7,7,242,44,112,0.393,9,27,0.333,38,40,0.95,5,21,26,35,7,4,21,15,135,Jeff Teague
201952,2014-15,0,1610612737,ATL,27.0,16,16,529,98,239,0.41,21,65,0.323,52,60,0.867,10,41,51,107,24,7,43,34,269,Jeff Teague
201952,2015-16,0,1610612737,ATL,28.0,10,10,279,46,121,0.38,9,36,0.25,44,52,0.846,3,16,19,61,6,2,25,30,145,Jeff Teague
201952,2016-17,0,1610612754,IND,29.0,4,4,142,22,45,0.489,9,17,0.529,15,18,0.833,0,13,13,25,4,3,8,12,68,Jeff Teague
201952,2017-18,0,1610612750,MIN,30.0,5,5,153,23,51,0.451,7,18,0.389,12,17,0.706,3,15,18,29,3,2,14,19,65,Jeff Teague
201952,2020-21,0,1610612749,MIL,33.0,16,0,119,9,31,0.29,5,11,0.455,9,11,0.818,2,6,8,13,3,0,6,9,32,Jeff Teague
2207,2002-03,0,1610612756,PHX,22.0,6,0,164,14,51,0.275,2,13,0.154,2,5,0.4,6,20,26,8,4,2,12,15,32,Joe Johnson
2207,2004-05,0,1610612756,PHX,24.0,9,9,355,63,125,0.504,20,36,0.556,23,33,0.697,7,32,39,30,10,4,10,18,169,Joe Johnson
2207,2007-08,0,1610612737,ATL,27.0,7,7,275,47,115,0.409,16,36,0.444,30,33,0.909,9,18,27,28,2,0,16,16,140,Joe Johnson
2207,2008-09,0,1610612737,ATL,28.0,11,11,429,70,168,0.417,12,35,0.343,28,45,0.622,17,32,49,39,14,0,32,24,180,Joe Johnson
