comparable_name,season,conference,conference_net_rating_index,conference_win_pct_index,raw_win_pct,conference_adjusted_win_pct,raw_net_rating,conference_adjusted_net_rating
Miami Heat 2010-11,2010-11,East,-0.7466666666666666,-0.029266666666666663,0.707,0.7362666666666666,8.052996457112163,8.79966312377883
Golden State Warriors 2016-17,2016-17,West,0.7733333333333333,0.017066666666666674,0.817,0.7999333333333333,11.388164807977892,10.614831474644559
Brooklyn Nets 2020-21,2020-21,East,-0.34666666666666673,-0.015666666666666662,0.667,0.6826666666666668,4.431810858642927,4.778477525309594
Phoenix Suns 2022-23,2022-23,West,-0.3266666666666667,-0.009066666666666667,0.549,0.5580666666666667,2.0681808057027222,2.394847472369389
