PLAYER_ID,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT,MIN_PullUpShot_dup,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_PTS,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_EFG_PCT,season,MIN_Drives_dup,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT,MIN_PostTouch_dup,TOUCHES,POST_TOUCHES,POST_TOUCH_FGM,POST_TOUCH_FGA,POST_TOUCH_FG_PCT,POST_TOUCH_FTM,POST_TOUCH_FTA,POST_TOUCH_FT_PCT,POST_TOUCH_PTS,POST_TOUCH_PTS_PCT,POST_TOUCH_PASSES,POST_TOUCH_PASSES_PCT,POST_TOUCH_AST,POST_TOUCH_AST_PCT,POST_TOUCH_TOV,POST_TOUCH_TOV_PCT,POST_TOUCH_FOULS,POST_TOUCH_FOULS_PCT
1718,2774.0,0,0,,0,,,,,2774.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,6.0,0,0,,0,,,,,6.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,1665.0,0,0,,0,,,,,1665.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,1280.0,0,0,,0,,,,,1280.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,1825.0,0,0,,0,,,,,1825.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,208.0,0,0,,0,,,,,208.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,1015.0,0,0,,0,,,,,1015.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,463.0,0,0,,0,,,,,463.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,862.0,0,0,,0,,,,,862.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,2809.0,0,0,,0,,,,,2809.0,0,0,,0,,,,,2010-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
