comparable_name,season,games_in_season,actual_wins,simulated_wins_mean,simulated_wins_p10,simulated_wins_p50,simulated_wins_p90,actual_percentile,league_baseline_per36
BKN 2022-23,2022-23,82,45,41.9509,30.0,42.0,54.0,64.12,17.937455855500886
CHA 2022-23,2022-23,82,27,41.0032,29.0,41.0,53.0,7.539999999999999,17.937455855500886
CHI 2022-23,2022-23,82,40,41.1999,29.0,41.0,54.0,47.48,17.937455855500886
CLE 2022-23,2022-23,82,51,44.682,32.0,45.0,57.0,75.8,17.937455855500886
DAL 2022-23,2022-23,82,38,41.2628,29.0,41.0,54.0,38.57,17.937455855500886
DEN 2022-23,2022-23,82,53,46.7385,34.0,47.0,59.0,75.57000000000001,17.937455855500886
DET 2022-23,2022-23,82,17,32.5232,21.0,32.0,45.0,4.26,17.937455855500886
GSW 2022-23,2022-23,82,44,44.5912,32.0,45.0,57.0,48.89,17.937455855500886
HOU 2022-23,2022-23,82,22,29.1706,18.0,29.0,41.0,23.84,17.937455855500886
IND 2022-23,2022-23,82,35,35.606,24.0,35.0,48.0,50.14999999999999,17.937455855500886
LAC 2022-23,2022-23,82,44,41.7668,29.0,42.0,55.0,60.73,17.937455855500886
LAL 2022-23,2022-23,82,43,41.5017,29.0,41.0,54.0,58.06,17.937455855500886
MEM 2022-23,2022-23,82,51,44.408,32.0,45.0,56.0,76.81,17.937455855500886
MIA 2022-23,2022-23,82,44,41.7816,29.0,42.0,55.0,60.29,17.937455855500886
MIL 2022-23,2022-23,82,58,49.1632,37.0,49.0,61.0,83.88,17.937455855500886
MIN 2022-23,2022-23,82,42,47.0538,35.0,47.0,59.0,30.669999999999998,17.937455855500886
NOP 2022-23,2022-23,82,42,43.5506,31.0,44.0,56.0,45.56,17.937455855500886
NYK 2022-23,2022-23,82,47,47.8467,36.0,48.0,60.0,47.160000000000004,17.937455855500886
OKC 2022-23,2022-23,82,40,33.0867,21.0,33.0,45.0,79.29,17.937455855500886
ORL 2022-23,2022-23,82,34,36.0685,24.0,36.0,49.0,44.7,17.937455855500886
PHI 2022-23,2022-23,82,54,44.3408,32.0,44.0,57.0,84.96000000000001,17.937455855500886
PHX 2022-23,2022-23,82,45,46.5915,34.0,47.0,59.0,44.64,17.937455855500886
POR 2022-23,2022-23,82,33,32.1154,20.0,32.0,45.0,57.14,17.937455855500886
SAC 2022-23,2022-23,82,48,42.0635,30.0,42.0,54.0,74.8,17.937455855500886
SAS 2022-23,2022-23,82,22,28.873,18.0,28.0,40.0,25.009999999999998,17.937455855500886
TOR 2022-23,2022-23,82,41,46.5766,34.0,47.0,59.0,29.23,17.937455855500886
UTA 2022-23,2022-23,82,37,30.7064,19.0,30.0,43.0,76.91,17.937455855500886
WAS 2022-23,2022-23,82,35,40.3505,28.0,40.0,53.0,31.16,17.937455855500886
ATL 2023-24,2023-24,82,36,44.4969,32.0,45.0,57.0,20.43,18.480219676476374
BOS 2023-24,2023-24,82,64,49.0057,37.0,49.0,61.0,96.34,18.480219676476374
BKN 2023-24,2023-24,82,32,42.4865,30.0,43.0,55.0,14.499999999999998,18.480219676476374
CHA 2023-24,2023-24,82,21,34.9547,23.0,35.0,47.0,7.359999999999999,18.480219676476374
CHI 2023-24,2023-24,82,39,42.7772,31.0,43.0,55.0,35.83,18.480219676476374
CLE 2023-24,2023-24,82,48,46.4841,34.0,47.0,58.0,57.65,18.480219676476374
DAL 2023-24,2023-24,82,50,41.4042,29.0,42.0,53.0,82.85,18.480219676476374
DEN 2023-24,2023-24,82,57,45.8315,34.0,46.0,58.0,89.37,18.480219676476374
DET 2023-24,2023-24,82,14,27.5591,17.0,27.0,39.0,5.62,18.480219676476374
GSW 2023-24,2023-24,82,46,40.5339,28.0,41.0,53.0,72.54,18.480219676476374
HOU 2023-24,2023-24,82,41,37.8564,26.0,38.0,50.0,65.99000000000001,18.480219676476374
IND 2023-24,2023-24,82,47,43.6268,32.0,44.0,56.0,65.84,18.480219676476374
LAC 2023-24,2023-24,82,51,40.4259,28.0,40.0,53.0,87.03,18.480219676476374
LAL 2023-24,2023-24,82,47,41.2982,29.0,41.0,54.0,73.33,18.480219676476374
MEM 2023-24,2023-24,82,27,39.6335,28.0,39.0,52.0,9.73,18.480219676476374
MIA 2023-24,2023-24,82,46,38.8745,27.0,39.0,51.0,78.62,18.480219676476374
MIL 2023-24,2023-24,82,49,44.608,32.0,45.0,57.0,69.02000000000001,18.480219676476374
MIN 2023-24,2023-24,82,56,46.4874,34.0,47.0,58.0,85.50999999999999,18.480219676476374
NOP 2023-24,2023-24,82,49,43.4172,31.0,44.0,56.0,73.67,18.480219676476374
NYK 2023-24,2023-24,82,50,45.3328,33.0,46.0,57.0,70.15,18.480219676476374
OKC 2023-24,2023-24,82,57,36.5373,25.0,36.0,49.0,98.77,18.480219676476374
ORL 2023-24,2023-24,82,47,40.4595,28.0,40.0,53.0,76.62,18.480219676476374
PHI 2023-24,2023-24,82,47,45.6108,33.0,46.0,57.0,56.87,18.480219676476374
PHX 2023-24,2023-24,82,49,41.3978,29.0,41.0,54.0,79.19,18.480219676476374
POR 2023-24,2023-24,82,21,31.1217,20.0,31.0,43.0,14.14,18.480219676476374
SAC 2023-24,2023-24,82,46,46.2033,34.0,46.0,58.0,50.05,18.480219676476374
SAS 2023-24,2023-24,82,22,34.4403,23.0,34.0,46.0,9.28,18.480219676476374
TOR 2023-24,2023-24,82,25,43.6843,32.0,44.0,56.0,2.58,18.480219676476374
UTA 2023-24,2023-24,82,31,33.3117,21.0,33.0,46.0,43.63,18.480219676476374
WAS 2023-24,2023-24,82,15,40.2411,28.0,40.0,52.0,0.16,18.480219676476374
ATL 2024-25,2024-25,82,40,41.0089,29.0,41.0,53.0,47.48,18.65773672131776
BOS 2024-25,2024-25,82,61,51.733,40.0,52.0,63.0,86.2,18.65773672131776
BKN 2024-25,2024-25,82,26,33.3115,22.0,33.0,46.0,23.97,18.65773672131776
CHA 2024-25,2024-25,82,19,34.4596,23.0,34.0,47.0,4.760000000000001,18.65773672131776
CHI 2024-25,2024-25,82,39,43.706,32.0,44.0,56.0,32.75,18.65773672131776
CLE 2024-25,2024-25,82,64,44.4191,32.0,45.0,56.0,99.0,18.65773672131776
DAL 2024-25,2024-25,82,39,42.5098,30.0,43.0,55.0,37.69,18.65773672131776
DEN 2024-25,2024-25,82,50,48.1092,36.0,49.0,60.0,58.37,18.65773672131776
DET 2024-25,2024-25,82,44,39.6445,28.0,40.0,52.0,69.41000000000001,18.65773672131776
GSW 2024-25,2024-25,82,48,45.587,34.0,46.0,58.0,61.660000000000004,18.65773672131776
HOU 2024-25,2024-25,82,52,44.0448,32.0,44.0,56.0,81.32000000000001,18.65773672131776
IND 2024-25,2024-25,82,50,47.0638,35.0,47.0,59.0,63.41,18.65773672131776
LAC 2024-25,2024-25,82,50,41.0097,28.0,41.0,54.0,82.77,18.65773672131776
LAL 2024-25,2024-25,82,50,42.4691,30.0,43.0,55.0,79.29,18.65773672131776
MEM 2024-25,2024-25,82,48,32.7735,21.0,33.0,45.0,95.26,18.65773672131776
MIA 2024-25,2024-25,82,37,40.5097,28.0,41.0,53.0,37.92,18.65773672131776
MIL 2024-25,2024-25,82,48,43.3827,31.0,43.0,56.0,70.06,18.65773672131776
MIN 2024-25,2024-25,82,49,46.3315,34.0,47.0,58.0,62.36000000000001,18.65773672131776
NOP 2024-25,2024-25,82,21,40.9295,29.0,41.0,53.0,1.6400000000000001,18.65773672131776
NYK 2024-25,2024-25,82,51,44.3384,32.0,45.0,56.0,76.97,18.65773672131776
OKC 2024-25,2024-25,82,68,53.5215,42.0,54.0,64.0,97.11,18.65773672131776
ORL 2024-25,2024-25,82,41,43.1952,31.0,43.0,55.0,43.14,18.65773672131776
PHI 2024-25,2024-25,82,24,31.9767,21.0,32.0,44.0,20.880000000000003,18.65773672131776
PHX 2024-25,2024-25,82,36,40.1169,28.0,40.0,53.0,35.78,18.65773672131776
POR 2024-25,2024-25,82,36,34.3276,22.90000000000009,34.0,47.0,60.17,18.65773672131776
SAC 2024-25,2024-25,82,40,45.2805,33.0,45.0,57.0,29.78,18.65773672131776
SAS 2024-25,2024-25,82,34,39.6351,27.0,40.0,52.0,30.270000000000003,18.65773672131776
TOR 2024-25,2024-25,82,30,36.5966,25.0,36.0,49.0,26.07,18.65773672131776
UTA 2024-25,2024-25,82,17,34.2561,22.0,34.0,47.0,2.67,18.65773672131776
WAS 2024-25,2024-25,82,18,27.0402,16.0,26.0,39.0,16.8,18.65773672131776
ATL 2025-26,2025-26,82,46,44.0204,32.0,44.0,56.0,59.91,18.146947095914364
BOS 2025-26,2025-26,82,56,49.4051,37.0,50.0,61.0,76.75999999999999,18.146947095914364
BKN 2025-26,2025-26,82,20,23.0689,14.0,22.0,34.0,40.400000000000006,18.146947095914364
CHA 2025-26,2025-26,82,44,30.1651,19.0,30.0,42.0,93.85,18.146947095914364
CHI 2025-26,2025-26,82,31,45.3328,33.0,45.0,57.0,6.6000000000000005,18.146947095914364
CLE 2025-26,2025-26,82,52,48.677,37.0,49.0,60.0,65.02,18.146947095914364
DAL 2025-26,2025-26,82,26,32.7296,21.0,32.0,45.0,26.200000000000003,18.146947095914364
DEN 2025-26,2025-26,82,54,46.2202,34.0,47.0,58.0,80.86,18.146947095914364
DET 2025-26,2025-26,82,60,44.6311,33.0,45.0,57.0,96.06,18.146947095914364
GSW 2025-26,2025-26,82,37,44.1237,31.0,44.0,57.0,25.09,18.146947095914364
HOU 2025-26,2025-26,82,52,45.9707,34.0,46.0,58.0,74.8,18.146947095914364
IND 2025-26,2025-26,82,19,37.0949,25.0,37.0,49.0,2.6,18.146947095914364
LAC 2025-26,2025-26,82,42,39.9142,28.0,40.0,53.0,60.62,18.146947095914364
LAL 2025-26,2025-26,82,53,44.7411,32.0,45.0,57.0,81.51,18.146947095914364
MEM 2025-26,2025-26,82,25,38.8562,26.0,39.0,52.0,9.02,18.146947095914364
MIA 2025-26,2025-26,82,43,43.1095,31.0,43.0,55.0,51.61,18.146947095914364
MIL 2025-26,2025-26,82,32,41.8004,30.0,42.0,54.0,16.37,18.146947095914364
MIN 2025-26,2025-26,82,49,49.555,38.0,50.0,61.0,48.41,18.146947095914364
NOP 2025-26,2025-26,82,26,31.9866,21.0,32.0,44.0,29.14,18.146947095914364
NYK 2025-26,2025-26,82,53,45.954,34.0,46.0,58.0,78.03,18.146947095914364
OKC 2025-26,2025-26,82,64,56.0365,45.0,57.0,66.0,84.41,18.146947095914364
ORL 2025-26,2025-26,82,45,44.1216,32.0,44.0,56.0,55.21,18.146947095914364
PHI 2025-26,2025-26,82,45,32.9778,21.0,33.0,45.0,90.24,18.146947095914364
PHX 2025-26,2025-26,82,45,42.4731,30.0,43.0,54.0,61.67,18.146947095914364
POR 2025-26,2025-26,82,42,40.1604,28.0,40.0,52.0,59.91,18.146947095914364
SAC 2025-26,2025-26,82,22,39.0838,27.0,39.0,51.0,3.73,18.146947095914364
SAS 2025-26,2025-26,82,62,40.591,29.0,41.0,53.0,99.25,18.146947095914364
TOR 2025-26,2025-26,82,46,40.1,28.0,40.0,52.0,74.71,18.146947095914364
UTA 2025-26,2025-26,82,22,32.4389,21.0,32.0,44.0,13.54,18.146947095914364
WAS 2025-26,2025-26,82,17,34.4446,22.0,34.0,47.0,2.75,18.146947095914364
