GAME_ID,season,home_win,net_rating_diff,rest_days_diff,is_b2b_home,is_b2b_away,three_pt_rate_diff,pace_diff
21000031,2010-11,1,37.7851035720564,-1.0,1,0,-0.022161172161172166,-4.560000000000002
21000054,2010-11,1,18.594389981466996,0.0,1,1,0.043704263181814695,-0.8799999999999955
21000090,2010-11,0,10.29894551929063,0.0,0,0,-0.06442611875402357,-6.910666666666671
21000108,2010-11,0,5.399103094165579,1.0,0,1,-0.0097075340163775,-1.6499999999999915
21000121,2010-11,0,2.5417043558424885,0.0,0,0,0.03718373530461078,-6.782777777777767
21000139,2010-11,1,12.527550631066001,0.0,0,0,0.020092878213957,-10.604
21000184,2010-11,0,-0.7765184921287269,3.0,0,1,-0.03813593099592025,2.095757575757574
21000195,2010-11,0,-3.9667975223668033,1.0,0,1,0.05279466611342706,-1.5907692307692258
21000220,2010-11,1,6.943957173519345,0.0,0,0,0.0030478140930606246,-5.002256410256422
21000261,2010-11,1,4.296069890495909,2.0,0,1,0.04877906517877606,-5.015555555555551
21000278,2010-11,1,5.358300591374454,-1.0,0,0,0.04054913362623258,-2.7016374269005894
21000309,2010-11,1,7.792297673404817,-1.0,1,0,0.0007943787295171256,-0.35151515151515866
21000342,2010-11,1,-0.5807431763883213,0.0,1,1,-0.09190928970180068,-4.80714285714285
21000385,2010-11,1,5.813673436667964,-1.0,1,0,0.0009748484209123054,-1.0210962962962924
21000406,2010-11,1,-2.974433279829374,-1.0,1,0,-0.10284883402406458,0.3098673740053073
21000421,2010-11,1,10.799801494151327,0.0,0,0,-0.022893340132077028,-3.5060000000000002
21000462,2010-11,1,6.518246610680627,0.0,0,0,-0.0295521231421092,-5.856121212121209
21000536,2010-11,1,3.7604361631612684,2.0,0,1,-0.061672764735740876,-5.218149920255172
21000587,2010-11,0,3.058263918315119,2.0,0,1,-0.029143804365998255,-5.61099999999999
21000606,2010-11,1,8.88920085364694,0.0,0,0,0.033823194366415565,-4.261899871630305
21000631,2010-11,0,0.5574634937558529,1.0,0,0,0.03404155936892353,1.4213953488372084
21000684,2010-11,1,1.3773423016578306,1.0,0,1,-0.06383534169102187,-6.219285024154601
21000719,2010-11,1,7.867397305722934,2.0,0,0,0.055906095213076074,-3.594744897959174
21000738,2010-11,1,4.438732671382747,0.0,0,0,-0.005391245884633217,-3.272397959183664
21000766,2010-11,0,1.688021322864922,1.0,0,0,0.04704154207609959,-1.6760627450980365
21000796,2010-11,0,4.904321976211048,3.0,0,1,0.028143186609484117,-0.16537010159650833
21000902,2010-11,1,-5.718207537722396,0.0,0,0,0.030359871513220088,-1.845908045977012
21000917,2010-11,0,-1.5246740049922987,0.0,0,0,0.02451589981074262,-4.250858571825518
21000933,2010-11,0,0.11436467239985992,0.0,0,0,-0.06256276582979839,-6.196537634408614
21000947,2010-11,0,-6.112338825830409,0.0,0,0,0.010449863624763245,-1.2345932539682565
21000977,2010-11,1,-0.9619670229583661,0.0,1,1,0.009085816052774476,0.6141538461538545
21000554,2010-11,1,1.3576947331478066,1.0,0,0,0.01632555149454884,-0.35238228438230124
21001003,2010-11,0,-3.416442980648298,-1.0,1,0,-0.028796124095762876,-5.760597014925381
21001020,2010-11,0,-7.146272859859949,0.0,0,0,-0.0006558238198477728,-1.225294117647067
21001036,2010-11,1,4.4811945205953965,0.0,0,0,0.03640657831941116,-0.21623188405794735
21001051,2010-11,0,-7.581785228509445,1.0,0,1,0.015157665775636986,-1.4611511387163603
21001081,2010-11,1,5.388676403896715,2.0,0,1,0.02695431534973855,-1.87202660406885
21001105,2010-11,1,-5.831204715891872,1.0,0,0,-0.1001704806306912,-2.197837837837838
21001125,2010-11,1,-6.319999415918611,1.0,0,1,0.043986790550270105,-0.7984648648648829
21001149,2010-11,0,-5.854348826457488,0.0,0,0,-0.03592975623045466,-3.0332467532467575
21001202,2010-11,0,-8.591598285096083,1.0,0,1,-0.010285189009472173,-1.4965000000000117
21100025,2011-12,1,45.91076776574577,-1.0,1,0,0.17284726587052165,-1.720000000000013
21100042,2011-12,1,46.012292786217856,1.0,0,1,9.939836340122632e-06,0.6599999999999824
21100094,2011-12,0,-2.099172081286392,1.0,0,1,0.07831025607044961,-7.7761904761904646
21100110,2011-12,1,-4.164741462388012,0.0,1,1,0.03383837643239007,2.8149999999999977
21100154,2011-12,1,17.751199762264132,-1.0,1,0,0.02888484229022814,-0.7112727272727426
21100172,2011-12,1,7.47721781466341,1.0,0,1,-0.0692813254778227,-0.3890909090908963
21100189,2011-12,1,14.135407123646173,0.0,0,0,-0.004901684790836497,5.0092307692307685
21100208,2011-12,1,5.028123615500187,0.0,0,0,-0.009934884367259839,-1.5382417582417531
21100227,2011-12,1,9.038209845585039,0.0,1,1,-0.0263145938989732,-2.5660714285714334
21100326,2011-12,0,6.47071291911109,0.0,0,0,0.08048043463858057,-0.6928138528138561
21100343,2011-12,0,-4.638573998093789,1.0,0,1,0.019480730505800625,1.6452173913043566
21100362,2011-12,0,9.706229594909066,0.0,0,0,-0.018503899733460588,0.4379710144927458
21100379,2011-12,1,1.250351397182127,1.0,0,1,0.0313437233711755,-0.6918000000000006
21100411,2011-12,0,-2.6129763874294323,0.0,0,0,0.03227319984849317,-2.9051851851851893
21100500,2011-12,1,-0.864621895334905,0.0,1,1,-0.10009421624385018,1.7101604278074944
21100516,2011-12,0,4.1968936616428465,4.0,0,1,-0.01938712698247924,-1.1174573055028532
21100530,2011-12,1,4.04648904246368,0.0,0,0,-0.0034044194752721746,-1.5759999999999934
21100540,2011-12,1,-4.757842491818027,-1.0,1,0,-0.01447478768322999,-2.0788888888888835
21100646,2011-12,1,9.916805698758784,1.0,0,1,0.053676492060459796,-2.6055592469545985
21100672,2011-12,0,1.5087340382581105,-1.0,1,0,0.04364045968149696,1.0830707070707177
21100687,2011-12,1,6.250101894656126,0.0,0,0,0.004424721180157548,-1.4313650151668327
21100703,2011-12,1,9.002100988464356,0.0,0,0,-0.05723794297387444,1.3952304964539053
21100722,2011-12,1,2.235805825098344,-1.0,1,0,0.09768274169115465,-1.6581122448979642
21100749,2011-12,0,-7.1372639452463655,-1.0,1,0,0.041188599229372985,2.190588235294129
21100760,2011-12,1,-1.4683625999345395,0.0,0,0,-0.03633065713533132,-2.9992458521870304
21100802,2011-12,1,14.865532625879018,3.0,0,1,0.07230732913072388,-0.2931590413943326
21100818,2011-12,1,7.519772851564499,1.0,0,1,0.07736382380535231,1.5168080808080902
21100896,2011-12,0,6.636800450994737,0.0,0,0,0.03204817735452936,2.1329265536723057
21100922,2011-12,1,7.933786909123867,1.0,0,1,0.07671528231985031,1.4511475409836123
21100938,2011-12,1,0.7924290293947012,0.0,0,0,0.052144770248536115,1.4362724014337118
21100951,2011-12,0,0.14911188093458616,0.0,0,0,-0.043216549911367974,-2.394285714285715
21100966,2011-12,1,0.2698443219325273,0.0,0,0,-0.02073903127555729,1.4274999999999949
