SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,AVAILABLE_FLAG,game_phase,comparable_name,season
2022-23,1610612756,PHX,Phoenix Suns,22200289,2022-11-26T00:00:00,PHX vs. UTA,W,48.0,42,92,0.457,6,22,0.273,23,30,0.767,18,30,48,23,6.0,8,6,2,20,19,113,1.0,1,1,1,1,5,40,31,52,77,77,72,9,9,49,7,55,22,61,1,23,29,8,28,47,44,45,1.0,regular,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,22200283,2022-11-25T00:00:00,PHX vs. DET,W,48.0,42,87,0.483,7,29,0.241,17,26,0.654,11,32,43,25,13.0,7,7,3,18,22,108,6.0,1,1,1,1,5,40,55,31,74,60,79,43,18,78,44,40,46,51,32,34,17,20,19,22,55,34,1.0,regular,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,22200259,2022-11-22T00:00:00,PHX vs. LAL,W,48.0,48,102,0.471,16,34,0.471,3,5,0.6,8,41,49,23,15.0,8,7,7,22,12,115,10.0,1,1,1,1,5,10,5,38,14,32,12,81,81,79,64,4,16,61,52,23,17,73,41,77,40,26,1.0,regular,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,22200240,2022-11-20T00:00:00,PHX vs. NYK,W,48.0,43,101,0.426,17,39,0.436,13,18,0.722,22,38,60,35,13.0,3,8,7,22,15,116,21.0,1,1,1,1,5,28,6,67,8,12,20,63,59,65,1,11,1,3,32,78,10,73,41,67,34,6,1.0,regular,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,22200232,2022-11-18T00:00:00,PHX @ UTA,L,48.0,49,94,0.521,9,30,0.3,26,28,0.929,12,30,42,29,14.0,7,6,3,25,28,133,-1.0,1,46,46,46,5,4,18,11,61,56,65,4,13,7,37,55,49,29,38,34,29,20,67,3,2,46,1.0,regular,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,22200220,2022-11-16T00:00:00,PHX vs. GSW,W,48.0,44,86,0.512,21,40,0.525,21,25,0.84,8,39,47,33,16.0,5,8,3,22,23,130,11.0,1,1,1,1,5,24,61,15,3,10,5,16,24,27,64,9,27,7,62,58,10,20,41,16,6,24,1.0,regular,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,22200202,2022-11-14T00:00:00,PHX @ MIA,L,48.0,48,99,0.485,14,36,0.389,2,4,0.5,20,25,45,22,14.0,9,4,4,22,10,112,-1.0,1,46,46,46,5,10,8,27,21,22,31,82,82,82,2,78,36,70,38,17,49,37,41,81,45,46,1.0,regular,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,22200177,2022-11-11T00:00:00,PHX @ ORL,L,48.0,38,95,0.4,13,42,0.31,8,9,0.889,11,27,38,22,11.0,7,4,4,14,11,97,-17.0,1,46,46,46,5,67,12,78,29,7,59,79,79,14,44,69,64,70,17,34,49,37,5,80,75,74,1.0,regular,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,22200167,2022-11-09T00:00:00,PHX @ MIN,W,48.0,47,97,0.485,16,35,0.457,19,20,0.95,10,26,36,31,11.0,10,3,6,21,22,129,12.0,1,1,1,1,5,14,10,28,14,27,17,31,49,3,50,72,72,13,17,8,61,62,36,22,9,21,1.0,regular,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,22200148,2022-11-07T00:00:00,PHX @ PHI,L,48.0,32,73,0.438,6,19,0.316,18,22,0.818,6,31,37,19,15.0,8,5,6,24,17,88,-12.0,1,46,46,46,5,81,81,59,77,82,56,35,36,34,77,48,67,81,52,23,37,62,61,59,80,69,1.0,regular,Phoenix Suns 2022-23,2022-23
