PLAYER_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,season
202710,Jimmy Butler III,1610612741,CHI,G-F,24.0,67,67,1.0,4.81,11.63,0.413,0.447,-0.034,2013-14
2403,Nene,1610612764,WAS,F-C,31.0,53,53,1.0,5.43,11.58,0.469,0.461,0.008,2013-14
2736,Luol Deng,1610612739,CLE,F,29.0,63,63,1.0,5.29,11.57,0.457,0.449,0.007,2013-14
200745,Andrea Bargnani,1610612752,NYK,C-F,28.0,42,42,1.0,5.79,11.55,0.501,0.467,0.034,2013-14
201188,Marc Gasol,1610612763,MEM,C,29.0,58,58,1.0,5.36,11.53,0.465,0.48,-0.015,2013-14
201142,Kevin Durant,1610612760,OKC,F,25.0,81,81,1.0,4.56,11.43,0.398,0.451,-0.052,2013-14
201587,Nicolas Batum,1610612757,POR,F,25.0,82,82,1.0,5.18,11.4,0.455,0.451,0.004,2013-14
101106,Andrew Bogut,1610612744,GSW,C,29.0,66,66,1.0,4.98,11.39,0.438,0.479,-0.042,2013-14
203506,Victor Oladipo,1610612753,ORL,G,22.0,80,80,1.0,4.7,11.35,0.414,0.436,-0.022,2013-14
201581,JJ Hickson,1610612743,DEN,C-F,25.0,69,69,1.0,5.39,11.32,0.476,0.471,0.006,2013-14
203101,Miles Plumlee,1610612756,PHX,C-F,25.0,80,80,1.0,5.31,11.24,0.473,0.484,-0.012,2013-14
201950,Jrue Holiday,1610612740,NOP,G,24.0,34,34,1.0,4.94,11.24,0.44,0.436,0.003,2013-14
202691,Klay Thompson,1610612744,GSW,G,24.0,80,80,1.0,4.59,11.21,0.409,0.445,-0.036,2013-14
203078,Bradley Beal,1610612764,WAS,G,21.0,72,72,1.0,4.72,11.15,0.423,0.438,-0.015,2013-14
202713,Kyle Singler,1610612765,DET,F,26.0,82,82,1.0,5.23,11.15,0.469,0.446,0.023,2013-14
202683,Enes Freedom,1610612762,UTA,C,22.0,80,80,1.0,5.61,11.11,0.505,0.478,0.027,2013-14
202684,Tristan Thompson,1610612739,CLE,F,23.0,82,82,1.0,5.33,11.09,0.481,0.468,0.013,2013-14
201163,Wilson Chandler,1610612743,DEN,F,27.0,62,62,1.0,4.74,11.05,0.429,0.459,-0.029,2013-14
202718,Chandler Parsons,1610612745,HOU,F,25.0,74,74,1.0,4.8,11.04,0.435,0.449,-0.014,2013-14
201588,George Hill,1610612754,IND,G,28.0,76,76,1.0,4.74,11.04,0.429,0.441,-0.012,2013-14
203081,Damian Lillard,1610612757,POR,G,23.0,82,82,1.0,4.85,11.04,0.44,0.442,-0.002,2013-14
202738,Isaiah Thomas,1610612758,SAC,G,25.0,71,71,1.0,4.72,11.03,0.428,0.436,-0.008,2013-14
202325,Wesley Johnson,1610612747,LAL,F,26.0,79,79,1.0,5.23,10.9,0.48,0.459,0.021,2013-14
201960,DeMarre Carroll,1610612737,ATL,F,27.0,73,73,1.0,4.88,10.9,0.447,0.45,-0.003,2013-14
201937,Ricky Rubio,1610612750,MIN,G,23.0,82,82,1.0,5.17,10.87,0.476,0.442,0.034,2013-14
202681,Kyrie Irving,1610612739,CLE,G,22.0,71,71,1.0,4.72,10.82,0.436,0.433,0.003,2013-14
101138,Brandon Bass,1610612738,BOS,F,29.0,82,82,1.0,4.85,10.82,0.449,0.462,-0.013,2013-14
2546,Carmelo Anthony,1610612752,NYK,F,30.0,77,77,1.0,4.73,10.79,0.438,0.45,-0.012,2013-14
202702,Kenneth Faried,1610612743,DEN,F,24.0,80,80,1.0,5.21,10.79,0.483,0.468,0.016,2013-14
202389,Timofey Mozgov,1610612743,DEN,C,27.0,82,82,1.0,4.8,10.77,0.446,0.476,-0.03,2013-14
201975,Jodie Meeks,1610612747,LAL,G,26.0,76,76,1.0,4.88,10.75,0.454,0.443,0.011,2013-14
200768,Kyle Lowry,1610612761,TOR,G,28.0,77,77,1.0,4.68,10.7,0.437,0.439,-0.002,2013-14
1890,Shawn Marion,1610612742,DAL,F,36.0,76,76,1.0,4.57,10.59,0.431,0.459,-0.028,2013-14
202339,Eric Bledsoe,1610612756,PHX,G,24.0,43,43,1.0,4.37,10.53,0.415,0.442,-0.027,2013-14
101181,Jose Calderon,1610612742,DAL,G,32.0,80,80,1.0,5.05,10.51,0.48,0.44,0.04,2013-14
201565,Derrick Rose,1610612741,CHI,G,25.0,10,10,1.0,4.1,10.5,0.39,0.433,-0.042,2013-14
203527,Ryan Kelly,1610612747,LAL,F,23.0,57,57,1.0,4.96,10.49,0.473,0.457,0.016,2013-14
201144,Mike Conley,1610612763,MEM,G,26.0,73,73,1.0,4.6,10.47,0.44,0.442,-0.002,2013-14
202323,Evan Turner,1610612754,IND,F-G,25.0,81,81,1.0,5.17,10.47,0.494,0.444,0.05,2013-14
202336,Larry Sanders,1610612749,MIL,C,25.0,22,22,1.0,4.45,10.45,0.426,0.476,-0.05,2013-14
203089,John Henson,1610612749,MIL,C-F,23.0,69,69,1.0,4.88,10.43,0.468,0.464,0.004,2013-14
201177,Josh McRoberts,1610612766,CHA,F,27.0,77,77,1.0,4.96,10.4,0.477,0.464,0.013,2013-14
201145,Jeff Green,1610612738,BOS,F,27.0,82,82,1.0,4.83,10.37,0.466,0.452,0.014,2013-14
101145,Monta Ellis,1610612742,DAL,G,28.0,82,82,1.0,5.07,10.29,0.493,0.445,0.048,2013-14
2440,Matt Barnes,1610612746,LAC,F,34.0,63,63,1.0,4.37,10.29,0.424,0.452,-0.027,2013-14
203110,Draymond Green,1610612744,GSW,F,24.0,79,79,1.0,4.3,10.25,0.42,0.456,-0.036,2013-14
202688,Brandon Knight,1610612749,MIL,G,22.0,71,71,1.0,4.73,10.23,0.463,0.438,0.025,2013-14
201147,Corey Brewer,1610612750,MIN,F,28.0,81,81,1.0,4.59,10.23,0.449,0.445,0.003,2013-14
101141,Ersan Ilyasova,1610612749,MIL,F,27.0,54,54,1.0,5.43,10.17,0.534,0.465,0.069,2013-14
202693,Markieff Morris,1610612756,PHX,F,24.0,81,81,1.0,4.8,10.16,0.473,0.463,0.009,2013-14
201175,Glen Davis,1610612746,LAC,F-C,28.0,68,68,1.0,4.66,10.15,0.459,0.468,-0.008,2013-14
2203,Shane Battier,1610612748,MIA,F,35.0,72,72,1.0,4.86,10.14,0.479,0.459,0.02,2013-14
2738,Andre Iguodala,1610612744,GSW,F-G,30.0,63,63,1.0,4.52,9.98,0.453,0.449,0.004,2013-14
101114,Deron Williams,1610612751,BKN,G,30.0,64,64,1.0,4.23,9.97,0.425,0.43,-0.005,2013-14
200752,Rudy Gay,1610612758,SAC,F,27.0,72,72,1.0,4.47,9.89,0.452,0.456,-0.003,2013-14
202083,Wesley Matthews,1610612757,POR,G,27.0,82,82,1.0,4.33,9.88,0.438,0.445,-0.007,2013-14
201941,Jordan Hill,1610612747,LAL,F-C,26.0,72,72,1.0,4.67,9.85,0.474,0.468,0.006,2013-14
