comparable_name,team_id,season,n_seasons_lookback,half_life_seasons,team_game_score,DiffPointsPG
CHA 2010-11,1610612766,2010-11,3,2.5,66.04101079559592,-4.0
CHA 2010-11,1610612766,2010-11,3,4.0,66.1575559206099,-4.0
CHA 2010-11,1610612766,2010-11,4,0.5,64.64865624641155,-4.0
CHA 2010-11,1610612766,2010-11,4,1.0,65.46561654813945,-4.0
CHA 2010-11,1610612766,2010-11,4,1.5,65.71746974876015,-4.0
CHA 2010-11,1610612766,2010-11,4,2.5,65.88243682180342,-4.0
CHA 2010-11,1610612766,2010-11,4,4.0,65.95609636621303,-4.0
CHI 2010-11,1610612741,2010-11,1,0.5,80.67080558066543,7.3
CHI 2010-11,1610612741,2010-11,1,1.0,80.67080558066543,7.3
CHI 2010-11,1610612741,2010-11,1,1.5,80.67080558066543,7.3
CHI 2010-11,1610612741,2010-11,1,2.5,80.67080558066543,7.3
CHI 2010-11,1610612741,2010-11,1,4.0,80.67080558066543,7.3
CHI 2010-11,1610612741,2010-11,2,0.5,79.95355693567461,7.3
CHI 2010-11,1610612741,2010-11,2,1.0,79.4753911723474,7.3
CHI 2010-11,1610612741,2010-11,2,1.5,79.2847648575908,7.3
CHI 2010-11,1610612741,2010-11,2,2.5,79.12468314310105,7.3
CHI 2010-11,1610612741,2010-11,2,4.0,79.0326585088889,7.3
CHI 2010-11,1610612741,2010-11,3,0.5,80.14581950716163,7.3
CHI 2010-11,1610612741,2010-11,3,1.0,80.08298871737884,7.3
CHI 2010-11,1610612741,2010-11,3,1.5,80.13437423678913,7.3
CHI 2010-11,1610612741,2010-11,3,2.5,80.21106301150789,7.3
CHI 2010-11,1610612741,2010-11,3,4.0,80.2683926931987,7.3
CHI 2010-11,1610612741,2010-11,4,0.5,80.18862129720009,7.3
CHI 2010-11,1610612741,2010-11,4,1.0,80.29532422906982,7.3
CHI 2010-11,1610612741,2010-11,4,1.5,80.45495153132583,7.3
CHI 2010-11,1610612741,2010-11,4,2.5,80.62970997468274,7.3
CHI 2010-11,1610612741,2010-11,4,4.0,80.74147602601475,7.3
CLE 2010-11,1610612739,2010-11,1,0.5,64.23675966991227,-9.0
CLE 2010-11,1610612739,2010-11,1,1.0,64.23675966991227,-9.0
CLE 2010-11,1610612739,2010-11,1,1.5,64.23675966991227,-9.0
CLE 2010-11,1610612739,2010-11,1,2.5,64.23675966991227,-9.0
CLE 2010-11,1610612739,2010-11,1,4.0,64.23675966991227,-9.0
CLE 2010-11,1610612739,2010-11,2,0.5,64.46320937686399,-9.0
CLE 2010-11,1610612739,2010-11,2,1.0,64.61417584816512,-9.0
CLE 2010-11,1610612739,2010-11,2,1.5,64.67436037889291,-9.0
CLE 2010-11,1610612739,2010-11,2,2.5,64.72490136992539,-9.0
CLE 2010-11,1610612739,2010-11,2,4.0,64.75395538291686,-9.0
CLE 2010-11,1610612739,2010-11,3,0.5,64.65730076492675,-9.0
CLE 2010-11,1610612739,2010-11,3,1.0,65.14228355312392,-9.0
CLE 2010-11,1610612739,2010-11,3,1.5,65.3685891886354,-9.0
CLE 2010-11,1610612739,2010-11,3,2.5,65.56680889607038,-9.0
CLE 2010-11,1610612739,2010-11,3,4.0,65.68243028727585,-9.0
CLE 2010-11,1610612739,2010-11,4,0.5,64.68440981816788,-9.0
CLE 2010-11,1610612739,2010-11,4,1.0,65.27326853827921,-9.0
CLE 2010-11,1610612739,2010-11,4,1.5,65.56463573763206,-9.0
CLE 2010-11,1610612739,2010-11,4,2.5,65.821259483599,-9.0
CLE 2010-11,1610612739,2010-11,4,4.0,65.96912637373899,-9.0
DAL 2010-11,1610612742,2010-11,1,0.5,80.32800345609816,4.2
DAL 2010-11,1610612742,2010-11,1,1.0,80.32800345609816,4.2
DAL 2010-11,1610612742,2010-11,1,1.5,80.32800345609816,4.2
