player_id,country
1641755,USA
1628973,USA
1642278,USA
1628969,USA
1626157,USA
1629013,USA
1642885,France
1643717,
1628983,Canada
1642272,USA
1631119,USA
1631096,USA
1631114,USA
1627936,USA
1642850,USA
1642923,USA
1642892,USA
1643530,Spain
1641717,USA
1642964,USA
1642349,Belgium
1629026,USA
1642260,Serbia
1628392,Germany
1641710,USA
1628371,USA
1628975,USA
1630217,USA
1630591,USA
1631094,USA
1631288,USA
202696,Montenegro
1642859,USA
1630658,USA
1630532,Germany
1641783,Germany
1643593,USA
1631457,USA
1628976,USA
1629048,Georgia
1642869,France
1643575,USA
1642889,USA
1630178,USA
1631126,USA
200768,USA
1627759,USA
1642348,USA
1630570,USA
1630699,USA
203954,Cameroon
1641712,France
1629014,USA
2544,USA
1631213,USA
1631230,USA
1641737,Nigeria
1629731,USA
1631133,USA
1630574,Germany
1642845,USA
1628970,USA
1642346,USA
1629599,USA
1628415,Canada
1630224,USA
1629312,USA
1628379,USA
1642863,South Sudan
1642345,USA
1631221,USA
1642886,USA
1631109,USA
1626164,USA
1631123,USA
1630587,USA
1643520,USA
1642853,USA
1643047,USA
1630692,USA
1630311,USA
1643257,USA
203081,USA
1630703,USA
1631104,USA
1642959,USA
201950,USA
1630166,Israel
1642910,USA
1630695,USA
1629630,USA
1642382,USA
1642905,China
1631101,Canada
1631110,Poland
1642270,USA
1630249,Czech Republic
1641739,Belgium
1629057,USA
1631321,France
1628370,USA
1642363,USA
1642367,USA
1643411,USA
203926,USA
1630165,France
203897,USA
1630173,Nigeria
1627734,Lithuania
1631099,USA
1641745,USA
1629631,USA
201566,USA
1629234,USA
1631116,USA
1631342,USA
1642928,USA
1642284,USA
1643567,Israel
1642875,France
1643551,USA
1643576,USA
1629162,USA
1641705,France
1642844,USA
1629640,USA
1628368,USA
1642264,USA
1628436,USA
203482,Canada
1643542,USA
1642868,USA
202699,USA
202687,DRC
1643519,USA
1630170,USA
1642357,Dominican Republic
1630577,USA
203084,USA
1630322,USA
203486,USA
1642927,USA
1643558,USA
1630639,Canada
1641711,USA
1627742,USA
1630567,USA
1630193,USA
1629628,Canada
203937,USA
1642266,USA
1627751,Austria
1643512,USA
1642347,USA
1642935,USA
1642867,USA
1631218,USA
1641748,USA
1641998,USA
1642918,USA
1642419,USA
1643060,USA
1642271,USA
1642396,USA
1641718,USA
1642262,USA
1642926,USA
1642268,USA
1629004,Ukraine
1629637,USA
1628964,USA
1642846,USA
1628991,USA
1629006,Nigeria
1643016,USA
1643408,USA
1628374,Finland
1641725,USA
1641729,USA
203994,Bosnia and Herzegovina
201567,USA
1629723,USA
1631127,USA
1642882,USA
1643590,Nigeria
1641731,France
1641774,Italy
1641715,USA
1629027,USA
1643407,USA
1642364,USA
1629028,Bahamas
1642267,USA
1630551,USA
1642848,USA
1630536,USA
1630264,USA
1642273,Switzerland
203114,USA
1642259,France
203076,USA
1642860,USA
