game_id,day,team_id,player_id,player_name,PTS,REB,AST,STL,BLK,TOV,3PM
0,0,1610612741,1643591,Tobe Awaka,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1610612741,1643637,Jaylin Sellers,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1610612741,1630581,Josh Giddey,11.849723469385154,8.15993579945398,10.070497550351176,0.801895422250853,0.4824642251392808,5.172278799844088,2.2803625252572877
0,0,1610612741,1643517,Dailyn Swain,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1610612741,1642265,Rob Dillingham,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1610612741,1643410,Caleb Wilson,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1610612741,1629651,Nic Claxton,5.583791302114628,7.964684018712778,1.9838658487892027,0.687306960496717,0.8953176009106741,1.472285529528516,0.07460015757475766
0,0,1610612741,1631159,Leonard Miller,8.960535795872277,3.649129515651464,0.6931028454469537,0.9794314697925675,0.1837810519723413,0.5816213374329675,0.5316526858472472
0,0,1610612741,1628380,Zach Collins,4.7123736069040305,3.765817615993264,2.092000043849637,0.5367525704612762,0.3317278798425336,1.2869194449344223,1.1427419674765011
0,0,1610612741,1641824,Matas Buzelis,13.885151094180584,3.6857570990876214,1.4335860163999001,1.0355995396819786,2.2035799066179123,0.8165769488212244,2.862103478711938
0,0,1610612741,1626181,Norman Powell,19.382527840797167,3.2974326408453156,2.8087909447588717,1.327428564782635,0.24286028359973455,1.4904295675532877,3.0638419096044855
0,0,1610612741,1642855,Noa Essengue,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1610612741,1630188,Jalen Smith,14.874051369268049,2.4523818297437083,1.3804147366004138,0.4000467821974719,0.49720296997973445,1.2300479664381199,2.018089784977729
0,0,1610612741,1630200,Tre Jones,10.587982396703142,5.475057404998662,6.4800988920905995,0.9290004644628488,0.31188701112468287,1.460506601200486,0.7880007139103437
0,0,1610612741,1630171,Isaac Okoro,12.76912966189979,3.4126866947104046,1.7935723016393823,0.7841951968491556,0.3138493537909849,0.9386938719393579,0.3889136690355054
0,0,1610612741,1630172,Patrick Williams,5.731714281011732,2.9785212909931014,0.21392818648378897,0.5380081453670822,0.3113674862433312,1.3186945331698183,1.3675796627850172
0,0,1610612750,1628978,Donte DiVincenzo,13.12046973482315,3.6551571144165753,5.578541722310244,1.5605664740162501,0.3344026500398722,0.6520247050237928,4.608590599055157
0,0,1610612750,1630163,LaMelo Ball,17.170128442551576,6.727765537900046,3.7741815390957956,0.5152556216307976,0.20466271791455082,1.0461793548247584,2.7642772316297264
0,0,1610612750,1630183,Jaden McDaniels,11.350318367176083,3.328970165596463,2.6853688648604916,1.7718664186348536,0.8808919025159625,1.8315610550929262,1.2826904794295675
0,0,1610612750,1630545,Terrence Shannon Jr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1610612750,1630162,Anthony Edwards,9.73972862865066,8.540653344513336,4.2280834338645725,1.7742511987704603,0.8792190528176878,2.928840664771625,1.361029821545696
0,0,1610612750,1641740,Jaylen Clark,3.7645667630610524,2.128503224055007,0.8864389663494113,0.6001038646163271,0.11032839477206738,0.16639155987433915,0.7122344401903606
0,0,1610612750,1630538,Bones Hyland,4.809358021385913,1.7600916438182401,2.430024000814782,0.9896292901391153,0.19732593207624533,0.5696990175249873,1.9366311011433666
0,0,1610612750,1630182,Josh Green,2.585428788838283,1.0346182540075048,0.3012721139725161,0.7047689027578449,0.0747234851022919,0.8294509930092949,1.2825514978782837
0,0,1610612750,1630245,Ayo Dosunmu,7.868449967202517,4.626170478694117,4.20712903745254,0.5492331640739727,0.3206661791030905,1.1876412511981178,1.881975566760135
0,0,1610612750,1643626,Trey Kaufman-Renn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1610612750,1642389,Zyon Pullin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1610612750,1642866,Joan Beringer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1610612750,1642402,Enrique Freeman,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1610612750,203497,Rudy Gobert,11.996553696736227,14.591343058721343,2.305714038123388,0.7507348628535837,1.5730189096940883,1.2637680770992623,0.0
0,0,1610612750,1642912,Isaiah Evans,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1610612750,1626168,Trey Lyles,6.605915081999695,5.766154040346666,1.4965674513668046,0.2600003850408043,0.07829074952720155,0.5196204500960586,1.7772548842960982
0,0,1610612750,1642911,Rocco Zikarsky,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1610612758,1628370,Malik Monk,7.222412151931406,1.1296092296433327,2.0766520199131913,0.3861119872105607,0.2915778289264076,2.045418434165615,1.248412095628258
1,0,1610612758,1642363,Nique Clifford,12.86152097733163,5.3305742226557955,0.8745970968544619,0.6479435882238348,0.3788615663792021,2.342239070664341,1.2264152196679408
1,0,1610612758,1642367,Jonathan Mogbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1610612758,1643411,Darius Acuff Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1610612758,203926,Doug McDermott,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1610612758,1630165,Killian Hayes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1610612758,203897,Zach LaVine,17.669986217637614,4.675743070158171,4.830376068622192,0.8254301031460166,0.29966313087422636,2.3259174421011695,1.6874855008015304
