player_id,player_name,current_age,target_age,games_played_last_season,minutes_per_game_last_season,projected_total_minutes,PTS_per36_projected,PTS_projected,AST_per36_projected,AST_projected,REB_per36_projected,REB_projected,STL_per36_projected,STL_projected,BLK_per36_projected,BLK_projected,TOV_per36_projected,TOV_projected,OREB_per36_projected,OREB_projected,DREB_per36_projected,DREB_projected,FGM_per36_projected,FGM_projected,FGA_per36_projected,FGA_projected,FTM_per36_projected,FTM_projected,FTA_per36_projected,FTA_projected,PF_per36_projected,PF_projected,FG3M_per36_projected,FG3M_projected,FG3A_per36_projected,FG3A_projected,game_score_per36,game_score_per36_box
2544,LeBron James,41.0,42.0,60,33.15,2296,22.24005174287896,1418.4210778236138,7.4964727061541705,478.1083703702771,6.631782556813456,422.9603541789915,1.1168618833781714,71.23096900656338,0.5502294929325753,35.09241432703313,3.200230721947491,204.10360382198442,0.8145168852599178,51.948076904354764,5.817265671553539,371.01227727463686,8.402049987315007,535.8640769687571,16.185921186061986,1032.3020845332867,3.7898737519300534,241.70972595642783,5.036609719638511,321.2237754525006,1.2844630414124956,81.92019841897472,1.6818623210214778,107.26544136292536,4.704561734023837,300.0464928144092,19.615014406899338,19.1229115258526
203484,Kentavious Caldwell-Pope,33.0,34.0,51,21.333333333333332,1804,12.225858790189028,612.6513682639168,3.3871124174457017,169.7319666964457,3.322243284383542,166.48130236188638,1.4387466197287164,72.09719172196124,0.41026514693841387,20.558842363247184,1.4823288285236063,74.2811446293496,0.565010668956113,28.313312411022995,2.757232615427429,138.1679899508634,4.304185407133355,215.68751317968258,10.109319833991645,506.5892494589146,1.8434654776881925,92.37810338193054,2.051450728885063,102.80047541412927,1.990348738785094,99.73858679911972,1.783120049507122,89.35412692530134,5.257361954451514,263.4522490508481,9.701506989282317,9.828934812426931
203954,Joel Embiid,32.0,33.0,38,31.605263157894736,2132,30.41674060956196,1801.3469716551692,4.928262974037666,291.86268501800845,9.428494155103419,558.376376074458,0.8104088531680139,47.99421319317238,1.351926974849726,80.06411973276711,3.5376518182523853,209.50760212539126,2.2644623786911002,134.10649420470628,7.164031776412318,424.2698818697517,9.94054346340013,588.7010739991412,20.505334050990434,1214.3714499086557,9.05076217043628,536.0062485380598,10.415706720599454,616.8412980088344,2.568690702309808,152.1235715923475,1.4925063405937524,88.3895421707189,4.508973107572879,267.0314073707049,25.010466496896708,23.868993255383785
1627759,Jaylen Brown,29.0,30.0,71,34.40845070422535,2788,25.833231987008094,2000.6402994382936,4.683355480060988,362.69986328916764,6.383483449757455,494.36532938677186,1.1056193644917853,85.62407745008605,0.389887320913782,30.19460696410067,3.093546835028145,239.57801600162412,1.2161234767454714,94.18200703239928,5.167359973011983,400.18332235437254,9.526323898396738,737.7608619091696,19.962148561221348,1545.9575052412533,4.807243590638957,372.2943091861503,6.210353330992349,480.95736352240743,2.633980119933497,203.98712706596083,2.0761187558035608,160.783863643898,6.087269845214246,471.42523134603664,21.133335605686398,18.020258525168497
1629014,Anfernee Simons,27.0,28.0,55,24.945454545454545,1640,21.372791775103995,973.6494030880708,4.516145963649176,205.73553834401804,3.414476414579457,155.5483699975086,0.7449346564319399,33.93591212634393,0.1502555200851709,6.844973692768897,2.139847315915848,97.48193328061086,0.6213968119282816,28.308076987843936,2.7930796026511757,127.24029300966468,7.63206003972707,347.68273514312204,17.61049193336245,802.2557436309561,2.473872242546424,112.69862438267042,2.737030564566526,124.68694794136395,2.224756096594375,101.34999995596596,3.6711474476344677,167.24116150334797,9.702082094376935,441.98373985494925,13.20757913706767,14.247575698470602
1629731,Dean Wade,29.0,30.0,59,22.338983050847457,1476,8.945085052346746,366.7484871462166,2.052631998833659,84.15791195218003,6.661537423139512,273.12303434872,1.1735917850985311,48.117263189039775,0.6216968066644484,25.489569073242386,0.5177446322583329,21.22752992259165,1.3488612728148195,55.3033121854076,5.312676150324693,217.8197221633124,3.1248081031747588,128.1171322301651,7.336698564203129,300.8046411323283,0.6086186012417486,24.953362650911696,0.9075922565169994,37.21128251719697,2.5981904593212604,106.52580883217168,2.195540361669828,90.01715482846295,5.967996205777166,244.6878444368638,12.141002791425382,8.96633670559251
1630178,Tyrese Maxey,25.0,26.0,70,38.01428571428571,2870,27.201560994306462,2168.568890379432,6.351553866339895,506.3599887887638,3.802667800989662,303.15712746778695,1.6510742832291627,131.6273109129916,0.6043636051791703,48.181209635117185,2.2687064217841093,180.86631751445537,0.3595855534109054,28.666959396924963,3.443082247578757,274.490168070862,9.52143160335389,759.0696861562683,21.059092158103432,1678.8776248265792,5.054208939914848,402.9327682654337,5.720319518037771,456.0365837991223,2.1792253193866076,173.73268518443234,3.0453557267755693,242.782525995719,8.502043749145852,677.801821112461,20.758876747012554,20.666779419141463
1631133,Jabari Walker,23.0,24.0,64,11.90625,820,14.4408224478317,328.92984464505537,1.7214604007679544,39.21104246193674,10.219308366114662,232.77313500594505,1.2633086850658914,28.77536449316753,0.5080158355021881,11.57147180866095,1.481321670491049,33.74121582785167,3.344692216705675,76.18465604718482,6.874616149408988,156.58847895876028,5.243180908993217,119.4280095937344,11.01998220981747,251.01070589028683,2.55365721748848,58.16663662057093,3.5220454772296033,80.22436920356319,4.638349318003324,105.65129002118682,1.3741214425976072,31.29943285916772,3.982001578603073,90.70114706818111,11.42226180059604,12.32770200993959
1631230,Dominick Barlow,23.0,24.0,71,23.788732394366196,820,13.192322018692684,300.4917793146667,2.1903201560048893,49.89062577566692,8.408631574417036,191.52994141727694,1.1890824741197574,27.08465635495003,1.3332163665188155,30.367706126261908,0.9336020889987403,21.265380916082417,3.358132151111812,76.49078788643573,5.050499423305226,115.03915353084125,5.240671480798044,119.37085039595546,9.937351912690856,226.35079356684727,2.2069201871218382,50.268737595552984,3.2205219569877332,73.35633346472059,3.957050963494876,90.13282750182773,0.4944577486419032,11.262648719065574,1.873575203934477,42.6758796451742,13.078513778868087,12.931981462441442
1641737,Adem Bona,23.0,24.0,71,17.380281690140844,984,11.904974370966444,325.4026328064162,1.0372369694146795,28.351143830667905,9.724488197754146,265.80267740527995,0.9835078492638891,26.882547879879635,2.6548929549148546,72.56707410100603,2.0371285052282304,55.6815124762383,3.890662718383034,106.34478096913625,5.833825479371114,159.45789643614378,4.641183530480525,126.85901649980103,7.233914657874827,197.72700064857858,2.585021012309333,70.65724100312177,3.737908065300424,102.1694871182116,4.8932045805898845,133.74759186945684,0.03687036821613518,1.0077900645743616,0.12644644477066477,3.4562028237315037,11.100242192068958,12.28375270695968
