held_out_season,test_mae,test_corr,n_test,coef_usage_clash,coef_playmaking_spacing_synergy,coef_post_creator_synergy,coef_onball_offball_shooter_synergy,coef_drive_interior_synergy
2010-11,5.657961021182477,-0.042907674745370675,30,0.015248485307062881,-0.06275601654098506,-0.060066681587908226,0.06887524519903046,-0.003608813065826527
2012-13,3.4777006944375786,0.14710416864905332,9,0.051811528298386304,-0.04034308540243442,-0.06299364142266707,0.039067495685635736,-0.014851089355547777
2013-14,5.632422901775627,0.15157073622254147,16,0.0592912954109769,-0.0394503607025836,-0.060750659200510135,0.033950420555386406,-0.013426385269316504
2014-15,7.835333055738867,0.17659640251886277,30,0.08205174679262081,-0.01927599894682615,-0.08487004514611822,0.02945410989787359,-0.01857606664611092
2015-16,4.9874381986742815,0.3597081272300242,5,0.05172416264940124,-0.038358184836153844,-0.06289229937812454,0.03907603922775583,-0.014724770383736232
2016-17,4.7219643108913205,-0.367347275746147,6,0.044848184397515686,-0.04729594245313127,-0.07683892022925186,0.049780935499761175,-0.015743487743401122
2017-18,8.01284111209426,-0.2665564002075669,9,0.06442148603809775,-0.03900544648878188,-0.0701216096499492,0.03577516329214634,-0.014901463805186053
2018-19,5.765952495383298,0.0011733680795624182,43,0.06460555155523671,-0.04277134633482687,-0.051572003658640383,0.050515613203674925,-0.020389881532031983
2019-20,4.264634324958343,-0.262809890173217,20,0.0959759459810578,-0.04705275604237145,-0.08549587088116507,0.04900837061316023,-0.013298163941063774
2020-21,5.596780307380369,-0.22741604801198448,13,0.03968415809907494,-0.03843729242691493,0.015569425318263233,0.04509741837007987,-0.021660556024405378
2021-22,5.076625604955025,-0.07219614033265194,33,0.05187292555326152,-0.04536621899257587,-0.10034079291723785,0.04721706453978868,-0.013828190095211348
2022-23,5.598719526372082,-0.0975906922866486,23,-0.20400741330090927,-0.04031372665304273,-0.030365735114182977,0.024355819508821805,-0.013901122096376702
2023-24,6.500409808869625,0.17024411758314895,25,0.04019982711707122,-0.027388652928228854,-0.07587772117267697,0.02478589456143536,-0.012663038213635376
2024-25,6.405987890238557,0.25765182386557917,17,0.07404812709421107,-0.04281556041702776,-0.05760154010231755,0.02629245759368508,-0.012222765207279062
2025-26,2.784607378967154,-0.05115005619134368,15,0.06371945611241382,-0.044087333652202576,-0.07661964772225986,0.041856326020513514,-0.015152399653566472
