player_id,player_name,cumulative_load_score,recent_intensity_score,sustained_streak_score,fatigue_score
2544,LeBron James,1.0,0.9983193277310924,0.6464466094067263,0.8933457475279002
1627759,Jaylen Brown,0.7337428571428571,1.0,0.6464466094067263,0.8007439828220179
1630178,Tyrese Maxey,0.41765714285714284,1.0,0.2928932188134524,0.5840479656440357
203484,Kentavious Caldwell-Pope,0.8655142857142857,0.7435398771481986,0.0,0.5631689570018694
203954,Joel Embiid,0.5120857142857143,0.9323013415892673,0.0,0.5055354695562435
1642845,VJ Edgecombe,0.08657142857142858,1.0,0.2928932188134524,0.4681679656440357
1629731,Dean Wade,0.21305714285714286,0.6352254664883121,0.5,0.44689891327090925
1629014,Anfernee Simons,0.3426571428571429,0.8372585397795481,0.0,0.4129704889228418
1642348,Justin Edwards,0.06402857142857143,0.5490531829170023,0.2928932188134524,0.3024465796649865
1631230,Dominick Barlow,0.08537142857142857,0.5185119502346394,0.2928932188134524,0.2992271482261595
1641737,Adem Bona,0.06385714285714286,0.47493092596766245,0.2928932188134524,0.2764437897327176
1631133,Jabari Walker,0.11028571428571429,0.39408263305322133,0.2928932188134524,0.2643968872126632
1642889,Labaron Philon,0.0,0.0,0.0,0.0
