team_abbreviation,expected_synergy_net_rating
ATL,11.650145868386709
BOS,10.683715455146409
CLE,10.935653075363035
NOP,9.171266638616663
CHI,11.022033632565137
DAL,10.853006720429027
DEN,10.094292180760707
GSW,10.762657553190447
HOU,10.98638520939707
LAC,9.520360488000755
LAL,10.75331629567863
MIA,10.929546809807508
MIL,11.11809928229583
MIN,11.10287285562847
BKN,11.27012062294751
NYK,11.123699793822167
ORL,10.813501392924623
IND,10.936453260664164
PHI,9.197061457612165
PHX,10.559264430185397
POR,10.106416334226862
SAC,9.704072271259392
SAS,11.798249340189988
OKC,10.404465783307849
TOR,11.056878258957598
UTA,10.442062155970676
MEM,9.443224387409726
WAS,10.2297807685598
DET,11.155206198268688
CHA,11.739151383103291
