season,league_game_score_per36,n_players,projected_team_baseline_per36
1992-93,18.2918918918919,1,
1993-94,22.420719602977673,1,
1994-95,15.66645945182255,4,
1995-96,13.225523608117449,10,
1996-97,12.652213740458016,1,
1997-98,10.983542713567838,4,
1998-99,12.480601981771674,28,
1999-00,13.095125935233307,41,
2000-01,11.864436438497169,2,
2001-02,11.68084200567644,4,
2002-03,11.70713757005393,4,
2003-04,10.866273658082532,6,
2004-05,13.358907921050342,8,
2005-06,10.21023957991467,12,
2006-07,10.927221899889235,9,
2007-08,10.769696799076604,24,
2008-09,10.789780301160208,29,
2009-10,10.61119697952923,36,
2010-11,10.670128866290657,54,13.093722641675317
2011-12,10.281033247650752,18,12.652645083507448
2012-13,9.91635754011549,29,12.611666057264038
2013-14,10.135835072458114,38,13.332814394465858
2014-15,10.467445897465574,52,12.994738308786186
2015-16,9.981577185700898,28,13.407290387821742
2016-17,11.348729630278603,39,13.646506658767573
2017-18,11.765056445261225,33,14.045598622825006
2018-19,11.276662908680947,61,14.703323551830634
2019-20,11.79499352800509,39,15.18435372829042
2020-21,12.735196874060716,56,15.43437809095041
2021-22,12.782480027171905,52,15.767829639127495
2022-23,12.872120418848166,48,15.818213721546405
2023-24,12.159436836345352,54,16.317474132409853
2024-25,13.364139881472537,49,16.455690050533306
2025-26,13.261479765635643,49,16.022327164389637
