comparable_name,team_id,season,x_game_score_vs_baseline,WINS,LOSSES,y_actual_diff_points_pg
MIL 2012-13,1610612749,2012-13,8.102453077524771,38,44,-1.5
MIN 2012-13,1610612750,2012-13,6.855197390892371,31,51,-2.4
NOP 2012-13,1610612740,2012-13,-21.713100377501803,27,55,-3.9
NYK 2012-13,1610612752,2012-13,18.89042476907585,54,28,4.2
OKC 2012-13,1610612760,2012-13,0.253871796029415,60,22,9.2
ORL 2012-13,1610612753,2012-13,-10.83671006495598,20,62,-7.0
PHI 2012-13,1610612755,2012-13,5.8571001675807395,34,48,-3.3
PHX 2012-13,1610612756,2012-13,5.791213439583572,25,57,-6.5
POR 2012-13,1610612757,2012-13,-28.73571760740637,33,49,-3.2
SAC 2012-13,1610612758,2012-13,4.3627945459311945,28,54,-4.9
SAS 2012-13,1610612759,2012-13,26.830838968778863,58,24,6.4
TOR 2012-13,1610612761,2012-13,-5.714600827625333,34,48,-1.5
UTA 2012-13,1610612762,2012-13,12.721746006636465,43,39,-0.1
WAS 2012-13,1610612764,2012-13,-23.279226569472684,29,53,-2.5
ATL 2013-14,1610612737,2013-14,-0.9441547767069096,38,44,-0.5
BOS 2013-14,1610612738,2013-14,-22.35633106701617,25,57,-4.5
BKN 2013-14,1610612751,2013-14,8.464624926051911,44,38,-1.0
CHA 2013-14,1610612766,2013-14,-6.99696812713421,43,39,-0.2
CHI 2013-14,1610612741,2013-14,8.108465462592264,48,34,1.9
CLE 2013-14,1610612739,2013-14,-6.661845339308385,33,49,-3.3
DAL 2013-14,1610612742,2013-14,16.666798546233608,49,33,2.4
DEN 2013-14,1610612743,2013-14,5.820080019838414,36,46,-2.1
DET 2013-14,1610612765,2013-14,-0.39318350954373216,29,53,-3.7
GSW 2013-14,1610612744,2013-14,14.22191708136998,51,31,4.8
HOU 2013-14,1610612745,2013-14,18.144252665230553,54,28,4.6
IND 2013-14,1610612754,2013-14,13.975886260402646,56,26,4.4
LAC 2013-14,1610612746,2013-14,34.2426062864493,57,25,7.0
